MST_DEG,MST_Fn,DMST_DEG,DMST_Fn,Actuator Cylinder_DEG,Actuator Cylinder_Fn,U2DiVA_DEG,U2DiVA_Fn,Cactus_DEG,Cactus_Fn,ARDEMA2D_DEG,ARDEMA2D_Fn,Qblade_DEG,Qblade_Fn
0.024672876,0.449302101,0.717731204,0.449302101,0.197937458,0.05198314,-0.148591705,-0.08621476,0.37120204,0.043345771,0.024672876,-0.094852128,0,-0.384254664
2.277112442,0.495368067,2.796906188,0.506884559,2.277112442,0.123961212,4.529552007,-0.005599318,3.489964515,0.122521651,2.796906188,-0.050225723,5,-0.233638501
4.009758261,0.565906578,5.049345753,0.560148332,3.663229097,0.181543671,10.94034154,0.087972176,7.301785318,0.203137092,5.915668663,0.011675419,10,-0.134431848
5.742404081,0.620609913,6.955256154,0.611972545,5.395874917,0.221851391,15.09869151,0.197378847,10.42054779,0.263598673,7.648314482,0.063499631,15,0.013632326
8.514637392,0.672434126,8.168108228,0.662357196,7.301785318,0.257840427,19.08377689,0.301027271,12.32645819,0.326939377,11.2868707,0.112444721,20,0.13255422
10.76707696,0.717060531,10.24728321,0.705544039,7.994843646,0.298148148,23.24212686,0.411873503,14.57889776,0.387400958,13.88583943,0.172906302,25,0.267736267
13.01951652,0.771763866,12.32645819,0.748730883,10.07401863,0.334137184,27.22721224,0.51840105,17.00460191,0.446422978,15.79174983,0.224730514,30,0.388486556
15.79174983,0.83510457,14.05910401,0.797675972,11.46013528,0.383082274,30.69250388,0.624928598,19.25704147,0.502565874,17.87092482,0.270796481,35,0.511537987
17.35113107,0.884049659,16.138279,0.858137553,13.01951652,0.433466925,33.63800177,0.708423162,22.02927478,0.564467017,19.43030605,0.332697623,40,0.620078987
19.77683522,0.921478257,18.56398314,0.894126589,14.40563318,0.470895522,37.79635174,0.800555095,23.93518519,0.614851668,21.68274562,0.387400958,45,0.72306275
21.8560102,0.95458817,20.12336438,0.938752994,15.79174983,0.511203243,41.26164338,0.871093606,26.36088933,0.681071494,24.45497893,0.436346048,50,0.81216659
23.41539144,0.989137645,21.33621646,0.967544223,17.17786649,0.550071402,44.20714127,0.932994748,28.44006432,0.741533075,26.01436017,0.491049383,55,0.891663753
25.32130184,1.016489313,23.06886228,1.004972821,19.08377689,0.606214299,48.88528499,1.035203612,30.69250388,0.800555095,27.40047682,0.538554911,60,0.957288837
27.05394766,1.045280542,25.667831,1.046720103,20.12336438,0.639324212,53.04363495,1.125895983,33.46473719,0.859577114,30.17271014,0.60765386,65,1.011635152
31.03903305,1.078390455,28.26679973,1.089906947,21.68274562,0.685390179,58.41483699,1.21226967,34.67758927,0.909961765,32.25188512,0.663796757,70,1.052385083
34.67758927,1.108621246,30.17271014,1.125895983,23.41539144,0.734335268,61.88012863,1.265533444,37.62308716,0.968983785,33.81126636,0.709862723,75,1.081063907
38.83593923,1.137412475,32.77167886,1.164764142,24.80150809,0.773203427,66.21174318,1.320236779,40.56858505,1.036643173,35.02411843,0.767445181,80,1.097395931
43.51408295,1.159005896,35.02411843,1.199313617,26.36088933,0.810632025,71.23641606,1.372060991,44.20714127,1.107181684,38.48941007,0.816390271,85,1.101957198
47.84569749,1.17196195,38.83593923,1.249698268,28.26679973,0.86533536,76.95414726,1.410929151,47.84569749,1.173401511,40.22205589,0.868214483,90,1.095711513
52.69710579,1.183478441,43.86061211,1.294324673,29.99944555,0.905643081,82.67187847,1.43972038,51.48425371,1.226665285,44.9001996,0.977621153,95,1.079083622
58.58810157,1.186357564,48.88528499,1.336071955,32.25188512,0.950269486,88.73613883,1.444039064,55.12280994,1.285687304,47.32590375,1.026566243,100,1.053249146
63.43950987,1.189236687,53.73669328,1.366302746,33.63800177,0.993456329,95.66672211,1.436841257,58.93463074,1.337511516,42.64776004,0.92435738,105,1.018630589
68.46418275,1.187797125,58.06830783,1.383577483,35.02411843,1.032324489,102.9438346,1.412368712,60.66727656,1.361984061,49.23181415,1.081269578,110,0.976600814
74.35517853,1.183478441,62.2266578,1.40085222,37.79635174,1.082709139,109.0080949,1.367742307,67.25133067,1.419566519,52.00404746,1.128775106,115,0.927278616
80.07290974,1.177720195,66.55827234,1.410929151,39.35573298,1.12301686,115.0723553,1.307280726,71.92947438,1.451236871,55.29607452,1.183478441,120,0.871974098
87.52328676,1.161885019,72.10273897,1.412368712,41.60817254,1.166203704,119.750499,1.254016952,83.53820138,1.474269854,58.06830783,1.230983969,125,0.811183733
93.58754713,1.148928966,76.26108893,1.406610466,42.9942892,1.196434494,125.4682302,1.179159757,96.35978044,1.426764327,60.66727656,1.266973005,130,0.74481226
99.6518075,1.131654229,82.84514305,1.396533536,45.07346418,1.238181776,130.6661677,1.117258614,107.7952428,1.313038972,63.78603903,1.318797218,135,0.674217973
105.0230095,1.111500369,88.21634509,1.383577483,48.19222666,1.275610374,134.9977822,1.062555279,115.7654136,1.19211581,68.29091816,1.367742307,140,0.599284318
109.3546241,1.095665193,94.10734087,1.364863184,50.27140164,1.31159941,138.9828676,1.000654137,132.9186072,0.930115626,72.62253271,1.405170905,145,0.520145445
112.8199157,1.079830017,100.1716012,1.331753271,52.69710579,1.359104938,142.967953,0.927236503,145.3936571,0.692587986,78.34026392,1.444039064,150,0.43814631
