Export File Created with QBlade v0.96 64bit on 03.07.2020 at 15:46:19
TSR4.5 solidity=0.10 UA VL ICS1.1 WRF0.45 MW3,TSR4.5 solidity=0.10 UA VL ICS1.1 WRF0.45 MW3,
Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],
2.70000e+02,-3.62451e+03,
2.75000e+02,-5.37718e+03,
2.80000e+02,-6.11289e+03,
2.85000e+02,-6.26486e+03,
2.90000e+02,-6.31554e+03,
2.95000e+02,-5.96247e+03,
3.00000e+02,-5.86685e+03,
3.05000e+02,-5.64182e+03,
3.10000e+02,-5.46746e+03,
3.15000e+02,-5.21193e+03,
3.20000e+02,-4.98790e+03,
3.25000e+02,-4.08363e+03,
3.30000e+02,-3.37150e+03,
3.35000e+02,-3.62498e+03,
3.40000e+02,-3.77679e+03,
3.45000e+02,-3.48491e+03,
3.50000e+02,-2.99298e+03,
3.55000e+02,-2.23267e+03,
0.00000e+00,-1.50207e+03,
5.00000e+00,-5.31701e+02,
1.00000e+01,6.68853e+01,
1.50000e+01,9.67733e+02,
2.00000e+01,1.74832e+03,
2.50000e+01,2.59574e+03,
3.00000e+01,3.33894e+03,
3.50000e+01,3.69147e+03,
4.00000e+01,4.04788e+03,
4.50000e+01,4.37183e+03,
5.00000e+01,4.54029e+03,
5.50000e+01,6.03059e+03,
6.00000e+01,5.07812e+03,
6.50000e+01,7.90761e+03,
7.00000e+01,5.15719e+03,
7.50000e+01,8.41970e+03,
8.00000e+01,5.45219e+03,
8.50000e+01,7.45140e+03,
9.00000e+01,5.18421e+03,
9.50000e+01,6.32676e+03,
1.00000e+02,4.77158e+03,
1.05000e+02,5.28578e+03,
1.10000e+02,4.24550e+03,
1.15000e+02,4.34124e+03,
1.20000e+02,3.66286e+03,
1.25000e+02,3.43296e+03,
1.30000e+02,3.04051e+03,
1.35000e+02,2.74812e+03,
1.40000e+02,2.41660e+03,
1.45000e+02,1.57036e+03,
1.50000e+02,1.56306e+03,
1.55000e+02,1.42825e+03,
1.60000e+02,1.17311e+03,
1.65000e+02,6.28750e+02,
1.70000e+02,1.90370e+02,
1.75000e+02,-3.38939e+02,
1.80000e+02,-9.28868e+02,
1.85000e+02,-1.50502e+03,
1.90000e+02,-1.79963e+03,
1.95000e+02,-2.22925e+03,
2.00000e+02,-2.16482e+03,
2.05000e+02,-2.96388e+03,
2.10000e+02,-3.80077e+03,
2.15000e+02,-4.18752e+03,
2.20000e+02,-4.75375e+03,
2.25000e+02,-5.02286e+03,
2.30000e+02,-5.40030e+03,
2.35000e+02,-5.42103e+03,
2.40000e+02,-5.63910e+03,
2.45000e+02,-5.54825e+03,
2.50000e+02,-5.61665e+03,
2.55000e+02,-5.53174e+03,
2.60000e+02,-5.49115e+03,
2.65000e+02,-5.20593e+03,
2.70000e+02,-5.17169e+03,
2.75000e+02,-5.08582e+03,
2.80000e+02,-5.01550e+03,
2.85000e+02,-4.95979e+03,
2.90000e+02,-4.89474e+03,
2.95000e+02,-4.82426e+03,
3.00000e+02,-4.75893e+03,
3.05000e+02,-4.64401e+03,
3.10000e+02,-4.49234e+03,
3.15000e+02,-3.67379e+03,
3.20000e+02,-3.56657e+03,
3.25000e+02,-3.67676e+03,
3.30000e+02,-3.84876e+03,
3.35000e+02,-3.90114e+03,
3.40000e+02,-3.91705e+03,
3.45000e+02,-3.77890e+03,
3.50000e+02,-3.97250e+03,
3.55000e+02,-3.44695e+03,
0.00000e+00,-2.50400e+03,
5.00000e+00,-2.11299e+03,
1.00000e+01,-1.03540e+03,
1.50000e+01,-2.83766e+02,
2.00000e+01,5.10430e+02,
2.50000e+01,1.31797e+03,
3.00000e+01,2.11432e+03,
3.50000e+01,2.88559e+03,
4.00000e+01,3.47914e+03,
4.50000e+01,3.78649e+03,
5.00000e+01,4.08926e+03,
5.50000e+01,4.28275e+03,
6.00000e+01,4.39999e+03,
6.50000e+01,6.21530e+03,
7.00000e+01,4.14549e+03,
7.50000e+01,7.74394e+03,
8.00000e+01,4.01897e+03,
8.50000e+01,8.03108e+03,
9.00000e+01,5.56467e+03,
9.50000e+01,6.35518e+03,
1.00000e+02,4.71643e+03,
1.05000e+02,4.89507e+03,
1.10000e+02,4.15294e+03,
1.15000e+02,4.09942e+03,
1.20000e+02,3.48918e+03,
1.25000e+02,3.23294e+03,
1.30000e+02,2.85170e+03,
1.35000e+02,2.36831e+03,
1.40000e+02,1.67153e+03,
1.45000e+02,1.68809e+03,
1.50000e+02,1.59144e+03,
1.55000e+02,1.29453e+03,
1.60000e+02,7.31488e+02,
1.65000e+02,2.06169e+02,
1.70000e+02,-3.22027e+02,
1.75000e+02,-8.77248e+02,
1.80000e+02,-1.31626e+03,
1.85000e+02,-1.90386e+03,
1.90000e+02,-2.22633e+03,
1.95000e+02,-2.15659e+03,
2.00000e+02,-3.61703e+03,
2.05000e+02,-2.69798e+03,
2.10000e+02,-5.27018e+03,
2.15000e+02,-2.74555e+03,
2.20000e+02,-5.78967e+03,
2.25000e+02,-2.83900e+03,
2.30000e+02,-6.35793e+03,
2.35000e+02,-2.82594e+03,
2.40000e+02,-6.06594e+03,
2.45000e+02,-2.62084e+03,
2.50000e+02,-5.89109e+03,
2.55000e+02,-3.04811e+03,
2.60000e+02,-6.91898e+03,
2.65000e+02,-3.30914e+03,
2.70000e+02,-7.15876e+03,
2.75000e+02,-3.25211e+03,
2.80000e+02,-7.66903e+03,
2.85000e+02,-3.20737e+03,
2.90000e+02,-7.51240e+03,
2.95000e+02,-3.21958e+03,
3.00000e+02,-7.22162e+03,
3.05000e+02,-3.33237e+03,
3.10000e+02,-6.55228e+03,
3.15000e+02,-3.36382e+03,
3.20000e+02,-8.70016e+03,
3.25000e+02,-3.57599e+03,
3.30000e+02,-7.48209e+03,
3.35000e+02,-3.28525e+03,
3.40000e+02,-4.53552e+03,
3.45000e+02,-3.86576e+03,
3.50000e+02,-3.93771e+03,
3.55000e+02,-3.64965e+03,
0.00000e+00,-2.86661e+03,
5.00000e+00,-1.98147e+03,
1.00000e+01,-1.00199e+03,
1.50000e+01,-2.54212e+02,
2.00000e+01,5.79243e+02,
2.50000e+01,1.45204e+03,
3.00000e+01,2.25281e+03,
3.50000e+01,3.08241e+03,
4.00000e+01,3.58876e+03,
4.50000e+01,3.87279e+03,
5.00000e+01,4.20336e+03,
5.50000e+01,4.37207e+03,
6.00000e+01,4.47774e+03,
6.50000e+01,5.43774e+03,
7.00000e+01,4.32225e+03,
7.50000e+01,7.15299e+03,
8.00000e+01,3.88853e+03,
8.50000e+01,7.65225e+03,
9.00000e+01,4.23145e+03,
9.50000e+01,7.65869e+03,
1.00000e+02,2.97912e+03,
1.05000e+02,6.97595e+03,
1.10000e+02,2.77256e+03,
1.15000e+02,6.01931e+03,
1.20000e+02,2.54481e+03,
1.25000e+02,4.98239e+03,
1.30000e+02,2.29066e+03,
1.35000e+02,3.92817e+03,
1.40000e+02,1.91541e+03,
1.45000e+02,2.26291e+03,
1.50000e+02,1.98539e+03,
1.55000e+02,1.72022e+03,
1.60000e+02,1.46965e+03,
1.65000e+02,7.16923e+02,
1.70000e+02,2.92392e+02,
1.75000e+02,-3.46238e+02,
1.80000e+02,-8.98409e+02,
1.85000e+02,-1.59174e+03,
1.90000e+02,-1.90473e+03,
1.95000e+02,-2.34538e+03,
2.00000e+02,-2.88160e+03,
2.05000e+02,-4.44902e+03,
2.10000e+02,-2.56327e+03,
2.15000e+02,-3.15053e+03,
2.20000e+02,-3.04347e+03,
2.25000e+02,-2.96453e+03,
2.30000e+02,-2.97711e+03,
2.35000e+02,-2.93364e+03,
2.40000e+02,-2.88994e+03,
2.45000e+02,-2.72505e+03,
2.50000e+02,-2.50725e+03,
2.55000e+02,-2.45812e+03,
2.60000e+02,-3.13422e+03,
2.65000e+02,-3.27044e+03,
2.70000e+02,-2.74528e+03,
2.75000e+02,-3.07459e+03,
2.80000e+02,-3.27383e+03,
2.85000e+02,-4.48879e+03,
2.90000e+02,-4.76690e+03,
2.95000e+02,-5.89301e+03,
3.00000e+02,-2.05395e+03,
3.05000e+02,-6.03710e+03,
3.10000e+02,-3.23871e+03,
3.15000e+02,-7.00622e+03,
3.20000e+02,-3.63079e+03,
3.25000e+02,-7.24406e+03,
3.30000e+02,-3.51337e+03,
3.35000e+02,-4.61878e+03,
3.40000e+02,-3.89272e+03,
3.45000e+02,-4.08333e+03,
3.50000e+02,-3.83565e+03,
3.55000e+02,-3.74444e+03,
0.00000e+00,-2.94205e+03,
5.00000e+00,-2.04513e+03,
1.00000e+01,-1.34374e+03,
1.50000e+01,-4.63688e+02,
2.00000e+01,7.26341e+01,
2.50000e+01,9.25654e+02,
3.00000e+01,1.66287e+03,
3.50000e+01,2.45755e+03,
4.00000e+01,3.14266e+03,
4.50000e+01,3.47310e+03,
5.00000e+01,3.75798e+03,
5.50000e+01,3.96707e+03,
6.00000e+01,4.15144e+03,
6.50000e+01,4.25340e+03,
7.00000e+01,5.62479e+03,
7.50000e+01,4.04275e+03,
8.00000e+01,7.17076e+03,
8.50000e+01,3.63320e+03,
9.00000e+01,7.66460e+03,
9.50000e+01,3.31800e+03,
1.00000e+02,7.40840e+03,
1.05000e+02,2.74431e+03,
1.10000e+02,6.49040e+03,
1.15000e+02,2.50324e+03,
1.20000e+02,5.39714e+03,
1.25000e+02,2.33186e+03,
1.30000e+02,4.31229e+03,
1.35000e+02,1.97956e+03,
1.40000e+02,2.36307e+03,
1.45000e+02,2.02743e+03,
1.50000e+02,1.73300e+03,
1.55000e+02,1.52887e+03,
1.60000e+02,8.27913e+02,
1.65000e+02,4.03556e+02,
1.70000e+02,-1.67335e+02,
1.75000e+02,-6.43226e+02,
1.80000e+02,-1.29809e+03,
1.85000e+02,-1.77476e+03,
1.90000e+02,-2.33076e+03,
1.95000e+02,-4.65965e+03,
2.00000e+02,-3.31922e+03,
2.05000e+02,-3.24643e+03,
2.10000e+02,-2.94731e+03,
2.15000e+02,-3.17969e+03,
2.20000e+02,-3.21462e+03,
2.25000e+02,-3.41271e+03,
2.30000e+02,-2.73853e+03,
2.35000e+02,-2.65912e+03,
2.40000e+02,-2.05835e+03,
2.45000e+02,-1.25035e+03,
2.50000e+02,-2.86766e+03,
2.55000e+02,-2.70202e+03,
2.60000e+02,-2.58245e+03,
2.65000e+02,-2.53176e+03,
2.70000e+02,-2.49193e+03,
2.75000e+02,-2.62362e+03,
2.80000e+02,-3.10459e+03,
2.85000e+02,-5.21633e+03,
2.90000e+02,-4.28055e+03,
2.95000e+02,-3.81939e+03,
3.00000e+02,-6.03699e+03,
3.05000e+02,-3.39860e+03,
3.10000e+02,-6.82609e+03,
3.15000e+02,-3.84419e+03,
3.20000e+02,-8.24424e+03,
3.25000e+02,-3.81588e+03,
3.30000e+02,-6.60802e+03,
3.35000e+02,-3.33681e+03,
3.40000e+02,-4.40498e+03,
3.45000e+02,-3.97572e+03,
3.50000e+02,-3.62651e+03,
3.55000e+02,-3.46577e+03,
0.00000e+00,-3.23697e+03,
5.00000e+00,-2.69466e+03,
1.00000e+01,-1.89435e+03,
1.50000e+01,-1.21269e+03,
2.00000e+01,-3.07839e+02,
2.50000e+01,4.10365e+02,
3.00000e+01,1.35264e+03,
3.50000e+01,2.07177e+03,
4.00000e+01,2.92484e+03,
4.50000e+01,3.42596e+03,
5.00000e+01,3.75403e+03,
5.50000e+01,4.03991e+03,
6.00000e+01,4.19545e+03,
6.50000e+01,4.29247e+03,
7.00000e+01,5.89651e+03,
7.50000e+01,3.98543e+03,
8.00000e+01,7.21599e+03,
8.50000e+01,3.59609e+03,
9.00000e+01,7.60541e+03,
9.50000e+01,3.28358e+03,
1.00000e+02,7.28480e+03,
1.05000e+02,2.75080e+03,
1.10000e+02,6.36469e+03,
1.15000e+02,2.47511e+03,
1.20000e+02,5.27879e+03,
1.25000e+02,2.26986e+03,
1.30000e+02,4.20321e+03,
1.35000e+02,1.88602e+03,
1.40000e+02,2.26735e+03,
1.45000e+02,1.91537e+03,
1.50000e+02,1.62883e+03,
1.55000e+02,1.34834e+03,
1.60000e+02,6.59537e+02,
1.65000e+02,2.06519e+02,
1.70000e+02,-3.59817e+02,
1.75000e+02,-8.15399e+02,
1.80000e+02,-1.41791e+03,
1.85000e+02,-1.69624e+03,
1.90000e+02,-2.04708e+03,
1.95000e+02,-2.48206e+03,
2.00000e+02,-5.19597e+03,
2.05000e+02,-4.73826e+03,
2.10000e+02,-1.54285e+03,
2.15000e+02,-5.84505e+03,
2.20000e+02,-2.75435e+03,
