Export File Created with QBlade v0.96 64bit on 09.07.2020 at 17:00:19
_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.14 6panel,_TSR4.5 solidity=0.14 6panel,
Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],
2.70000e+02,-9.66652e+02,2.70000e+02,-1.33710e+03,
2.75000e+02,-9.78812e+02,2.75000e+02,-1.36762e+03,
2.80000e+02,-1.02167e+03,2.80000e+02,-1.42275e+03,
2.85000e+02,-1.04500e+03,2.85000e+02,-1.45481e+03,
2.90000e+02,-1.05598e+03,2.90000e+02,-1.47080e+03,
2.95000e+02,-1.05787e+03,2.95000e+02,-1.47476e+03,
3.00000e+02,-1.05223e+03,3.00000e+02,-1.46886e+03,
3.05000e+02,-1.03927e+03,3.05000e+02,-1.45154e+03,
3.10000e+02,-1.01882e+03,3.10000e+02,-1.42506e+03,
3.15000e+02,-9.92019e+02,3.15000e+02,-1.38902e+03,
3.20000e+02,-9.58210e+02,3.20000e+02,-1.34401e+03,
3.25000e+02,-9.15355e+02,3.25000e+02,-1.28647e+03,
3.30000e+02,-8.63332e+02,3.30000e+02,-1.21726e+03,
3.35000e+02,-8.03279e+02,3.35000e+02,-1.13725e+03,
3.40000e+02,-7.32773e+02,3.40000e+02,-1.04460e+03,
3.45000e+02,-6.20681e+02,3.45000e+02,-9.08330e+02,
3.50000e+02,-4.79624e+02,3.50000e+02,-7.29208e+02,
3.55000e+02,-3.34045e+02,3.55000e+02,-5.37463e+02,
0.00000e+00,-1.81754e+02,0.00000e+00,-3.41290e+02,
5.00000e+00,-4.63755e+01,5.00000e+00,-1.51564e+02,
1.00000e+01,8.49064e+01,1.00000e+01,2.02610e+01,
1.50000e+01,2.29301e+02,1.50000e+01,1.96467e+02,
2.00000e+01,3.75030e+02,2.00000e+01,3.85400e+02,
2.50000e+01,5.09558e+02,2.50000e+01,5.63273e+02,
3.00000e+01,6.32438e+02,3.00000e+01,7.32032e+02,
3.50000e+01,7.14407e+02,3.50000e+01,8.75153e+02,
4.00000e+01,7.66505e+02,4.00000e+01,9.72899e+02,
4.50000e+01,8.12840e+02,4.50000e+01,1.04031e+03,
5.00000e+01,8.48756e+02,5.00000e+01,1.09211e+03,
5.50000e+01,8.75271e+02,5.50000e+01,1.13285e+03,
6.00000e+01,8.93883e+02,6.00000e+01,1.16188e+03,
6.50000e+01,9.04024e+02,6.50000e+01,1.17796e+03,
7.00000e+01,9.07446e+02,7.00000e+01,1.18350e+03,
7.50000e+01,9.04309e+02,7.50000e+01,1.17889e+03,
8.00000e+01,8.95532e+02,8.00000e+01,1.16658e+03,
8.50000e+01,8.80438e+02,8.50000e+01,1.14633e+03,
9.00000e+01,8.60617e+02,9.00000e+01,1.11936e+03,
9.50000e+01,8.35995e+02,9.50000e+01,1.08625e+03,
1.00000e+02,8.07093e+02,1.00000e+02,1.04754e+03,
1.05000e+02,7.74190e+02,1.05000e+02,1.00387e+03,
1.10000e+02,7.38008e+02,1.10000e+02,9.55942e+02,
1.15000e+02,6.99044e+02,1.15000e+02,9.04243e+02,
1.20000e+02,6.57976e+02,1.20000e+02,8.49130e+02,
1.25000e+02,6.14570e+02,1.25000e+02,7.91404e+02,
1.30000e+02,5.70114e+02,1.30000e+02,7.30868e+02,
1.35000e+02,5.24345e+02,1.35000e+02,6.67583e+02,
1.40000e+02,4.76662e+02,1.40000e+02,6.00431e+02,
1.45000e+02,4.26822e+02,1.45000e+02,5.30435e+02,
1.50000e+02,3.74364e+02,1.50000e+02,4.48557e+02,
1.55000e+02,3.14316e+02,1.55000e+02,3.36706e+02,
1.60000e+02,2.23118e+02,1.60000e+02,2.04609e+02,
1.65000e+02,1.23663e+02,1.65000e+02,7.28274e+01,
1.70000e+02,2.55056e+01,1.70000e+02,-5.10461e+01,
1.75000e+02,-7.09436e+01,1.75000e+02,-2.07019e+02,
1.80000e+02,-1.92528e+02,1.80000e+02,-3.66498e+02,
1.85000e+02,-3.07879e+02,1.85000e+02,-4.94866e+02,
1.90000e+02,-3.77469e+02,1.90000e+02,-5.99506e+02,
1.95000e+02,-4.57569e+02,1.95000e+02,-6.71865e+02,
2.00000e+02,-4.97594e+02,2.00000e+02,-7.03376e+02,
2.05000e+02,-5.09835e+02,2.05000e+02,-7.19707e+02,
2.10000e+02,-5.32209e+02,2.10000e+02,-7.51315e+02,
2.15000e+02,-5.65862e+02,2.15000e+02,-7.95799e+02,
2.20000e+02,-6.04066e+02,2.20000e+02,-8.46067e+02,
2.25000e+02,-6.45403e+02,2.25000e+02,-8.99350e+02,
2.30000e+02,-6.88650e+02,2.30000e+02,-9.55226e+02,
2.35000e+02,-7.30149e+02,2.35000e+02,-1.01231e+03,
2.40000e+02,-7.70731e+02,2.40000e+02,-1.06754e+03,
2.45000e+02,-8.10684e+02,2.45000e+02,-1.12199e+03,
2.50000e+02,-8.48207e+02,2.50000e+02,-1.17407e+03,
2.55000e+02,-8.82741e+02,2.55000e+02,-1.22167e+03,
2.60000e+02,-9.15755e+02,2.60000e+02,-1.26431e+03,
2.65000e+02,-9.44856e+02,2.65000e+02,-1.30207e+03,
2.70000e+02,-9.69898e+02,2.70000e+02,-1.33414e+03,
2.75000e+02,-9.90819e+02,2.75000e+02,-1.35839e+03,
2.80000e+02,-1.00667e+03,2.80000e+02,-1.37087e+03,
2.85000e+02,-1.01245e+03,2.85000e+02,-1.37599e+03,
2.90000e+02,-1.01295e+03,2.90000e+02,-1.37455e+03,
2.95000e+02,-1.00665e+03,2.95000e+02,-1.36830e+03,
3.00000e+02,-9.96205e+02,3.00000e+02,-1.35845e+03,
3.05000e+02,-9.79298e+02,3.05000e+02,-1.33604e+03,
3.10000e+02,-9.53340e+02,3.10000e+02,-1.29772e+03,
3.15000e+02,-9.18462e+02,3.15000e+02,-1.24491e+03,
3.20000e+02,-8.77925e+02,3.20000e+02,-1.18629e+03,
3.25000e+02,-8.49244e+02,3.25000e+02,-1.15183e+03,
3.30000e+02,-8.28366e+02,3.30000e+02,-1.13564e+03,
3.35000e+02,-7.59711e+02,3.35000e+02,-1.08679e+03,
3.40000e+02,-7.17817e+02,3.40000e+02,-1.00590e+03,
3.45000e+02,-7.13867e+02,3.45000e+02,-1.01512e+03,
3.50000e+02,-6.42767e+02,3.50000e+02,-9.69424e+02,
3.55000e+02,-5.54123e+02,3.55000e+02,-8.45716e+02,
0.00000e+00,-4.03803e+02,0.00000e+00,-6.93203e+02,
5.00000e+00,-2.43363e+02,5.00000e+00,-4.91348e+02,
1.00000e+01,-8.39343e+01,1.00000e+01,-2.75113e+02,
1.50000e+01,6.72577e+01,1.50000e+01,-7.92543e+01,
2.00000e+01,2.35055e+02,2.00000e+01,1.13834e+02,
2.50000e+01,3.92803e+02,2.50000e+01,3.32629e+02,
3.00000e+01,5.37216e+02,3.00000e+01,5.32622e+02,
3.50000e+01,6.52518e+02,3.50000e+01,7.15174e+02,
4.00000e+01,7.24119e+02,4.00000e+01,8.62842e+02,
4.50000e+01,7.74868e+02,4.50000e+01,9.61380e+02,
5.00000e+01,8.17456e+02,5.00000e+01,1.02437e+03,
5.50000e+01,8.48918e+02,5.50000e+01,1.07410e+03,
6.00000e+01,8.70854e+02,6.00000e+01,1.11097e+03,
6.50000e+01,8.84169e+02,6.50000e+01,1.13449e+03,
7.00000e+01,8.89957e+02,7.00000e+01,1.14652e+03,
7.50000e+01,8.88990e+02,7.50000e+01,1.14787e+03,
8.00000e+01,8.82746e+02,8.00000e+01,1.14037e+03,
8.50000e+01,8.70031e+02,8.50000e+01,1.12531e+03,
9.00000e+01,8.51856e+02,9.00000e+01,1.10213e+03,
9.50000e+01,8.28863e+02,9.50000e+01,1.07215e+03,
1.00000e+02,8.01135e+02,1.00000e+02,1.03590e+03,
1.05000e+02,7.69297e+02,1.05000e+02,9.94022e+02,
1.10000e+02,7.33896e+02,1.10000e+02,9.47457e+02,
1.15000e+02,6.95560e+02,1.15000e+02,8.96835e+02,
1.20000e+02,6.54927e+02,1.20000e+02,8.42304e+02,
1.25000e+02,6.11851e+02,1.25000e+02,7.85195e+02,
1.30000e+02,5.67631e+02,1.30000e+02,7.24982e+02,
1.35000e+02,5.22009e+02,1.35000e+02,6.61522e+02,
1.40000e+02,4.74572e+02,1.40000e+02,5.94380e+02,
1.45000e+02,4.24499e+02,1.45000e+02,5.23959e+02,
1.50000e+02,3.71486e+02,1.50000e+02,4.37948e+02,
1.55000e+02,3.09996e+02,1.55000e+02,3.17091e+02,
1.60000e+02,2.17199e+02,1.60000e+02,1.84651e+02,
1.65000e+02,1.17472e+02,1.65000e+02,5.08350e+01,
1.70000e+02,1.87940e+01,1.70000e+02,-7.92574e+01,
1.75000e+02,-8.03300e+01,1.75000e+02,-2.43124e+02,
1.80000e+02,-2.03009e+02,1.80000e+02,-4.07141e+02,
1.85000e+02,-3.13437e+02,1.85000e+02,-5.24213e+02,
1.90000e+02,-3.87708e+02,1.90000e+02,-6.20484e+02,
1.95000e+02,-4.63064e+02,1.95000e+02,-6.88241e+02,
2.00000e+02,-4.99104e+02,2.00000e+02,-7.34911e+02,
2.05000e+02,-5.17672e+02,2.05000e+02,-7.49123e+02,
2.10000e+02,-5.47173e+02,2.10000e+02,-7.66508e+02,
2.15000e+02,-5.51845e+02,2.15000e+02,-8.54987e+02,
2.20000e+02,-6.18355e+02,2.20000e+02,-9.10610e+02,
2.25000e+02,-6.81296e+02,2.25000e+02,-9.11464e+02,
2.30000e+02,-7.03969e+02,2.30000e+02,-9.60186e+02,
2.35000e+02,-7.31757e+02,2.35000e+02,-1.06960e+03,
2.40000e+02,-7.59369e+02,2.40000e+02,-1.09634e+03,
2.45000e+02,-7.04703e+02,2.45000e+02,-1.13144e+03,
2.50000e+02,-6.36548e+02,2.50000e+02,-1.16371e+03,
2.55000e+02,-5.96011e+02,2.55000e+02,-1.19818e+03,
2.60000e+02,-7.26217e+02,2.60000e+02,-1.23282e+03,
2.65000e+02,-7.61163e+02,2.65000e+02,-1.26351e+03,
2.70000e+02,-9.01031e+02,2.70000e+02,-1.24940e+03,
2.75000e+02,-9.43197e+02,2.75000e+02,-1.31193e+03,
2.80000e+02,-9.58559e+02,2.80000e+02,-1.34238e+03,
2.85000e+02,-9.59557e+02,2.85000e+02,-1.34745e+03,
2.90000e+02,-9.44480e+02,2.90000e+02,-1.36037e+03,
2.95000e+02,-9.07376e+02,2.95000e+02,-1.36221e+03,
3.00000e+02,-8.49175e+02,3.00000e+02,-1.31726e+03,
3.05000e+02,-8.43778e+02,3.05000e+02,-1.22419e+03,
3.10000e+02,-8.68617e+02,3.10000e+02,-1.11131e+03,
3.15000e+02,-8.41164e+02,3.15000e+02,-1.07286e+03,
3.20000e+02,-7.34109e+02,3.20000e+02,-1.01125e+03,
3.25000e+02,-7.67071e+02,3.25000e+02,-9.07264e+02,
3.30000e+02,-7.78038e+02,3.30000e+02,-9.61688e+02,
3.35000e+02,-7.41532e+02,3.35000e+02,-1.01098e+03,
3.40000e+02,-7.07681e+02,3.40000e+02,-9.59960e+02,
3.45000e+02,-7.30281e+02,3.45000e+02,-9.88341e+02,
3.50000e+02,-6.36362e+02,3.50000e+02,-9.76825e+02,
3.55000e+02,-5.68338e+02,3.55000e+02,-8.83413e+02,
0.00000e+00,-4.18480e+02,0.00000e+00,-7.35859e+02,
5.00000e+00,-2.58984e+02,5.00000e+00,-5.41638e+02,
1.00000e+01,-9.96104e+01,1.00000e+01,-3.25845e+02,
1.50000e+01,5.23368e+01,1.50000e+01,-1.20222e+02,
2.00000e+01,2.29999e+02,2.00000e+01,7.08894e+01,
2.50000e+01,3.86417e+02,2.50000e+01,2.94270e+02,
3.00000e+01,5.31741e+02,3.00000e+01,5.09409e+02,
3.50000e+01,6.48458e+02,3.50000e+01,6.97008e+02,
4.00000e+01,7.21043e+02,4.00000e+01,8.50302e+02,
4.50000e+01,7.72072e+02,4.50000e+01,9.50921e+02,
5.00000e+01,8.15078e+02,5.00000e+01,1.01697e+03,
5.50000e+01,8.46890e+02,5.50000e+01,1.06708e+03,
6.00000e+01,8.69114e+02,6.00000e+01,1.10479e+03,
6.50000e+01,8.82728e+02,6.50000e+01,1.12920e+03,
7.00000e+01,8.88675e+02,7.00000e+01,1.14278e+03,
7.50000e+01,8.88059e+02,7.50000e+01,1.14511e+03,
8.00000e+01,8.81829e+02,8.00000e+01,1.13801e+03,
8.50000e+01,8.69171e+02,8.50000e+01,1.12331e+03,
9.00000e+01,8.51280e+02,9.00000e+01,1.10021e+03,
9.50000e+01,8.28359e+02,9.50000e+01,1.07033e+03,
1.00000e+02,8.00888e+02,1.00000e+02,1.03430e+03,
1.05000e+02,7.69151e+02,1.05000e+02,9.92688e+02,
1.10000e+02,7.33793e+02,1.10000e+02,9.46326e+02,
1.15000e+02,6.95394e+02,1.15000e+02,8.95906e+02,
1.20000e+02,6.54695e+02,1.20000e+02,8.41413e+02,
1.25000e+02,6.11779e+02,1.25000e+02,7.84373e+02,
1.30000e+02,5.67487e+02,1.30000e+02,7.23843e+02,
1.35000e+02,5.21832e+02,1.35000e+02,6.60004e+02,
1.40000e+02,4.73923e+02,1.40000e+02,5.92758e+02,
1.45000e+02,4.23664e+02,1.45000e+02,5.21318e+02,
1.50000e+02,3.71269e+02,1.50000e+02,4.32723e+02,
1.55000e+02,3.09020e+02,1.55000e+02,3.09886e+02,
1.60000e+02,2.14916e+02,1.60000e+02,1.72310e+02,
1.65000e+02,1.14255e+02,1.65000e+02,3.62797e+01,
1.70000e+02,1.55606e+01,1.70000e+02,-1.00847e+02,
1.75000e+02,-8.61075e+01,1.75000e+02,-2.69241e+02,
1.80000e+02,-2.10034e+02,1.80000e+02,-4.36511e+02,
1.85000e+02,-3.18790e+02,1.85000e+02,-5.44733e+02,
1.90000e+02,-3.93230e+02,1.90000e+02,-6.35550e+02,
1.95000e+02,-4.66800e+02,1.95000e+02,-6.92187e+02,
2.00000e+02,-4.99433e+02,2.00000e+02,-7.31782e+02,
2.05000e+02,-5.17034e+02,2.05000e+02,-7.25520e+02,
2.10000e+02,-5.44273e+02,2.10000e+02,-7.25195e+02,
2.15000e+02,-5.43751e+02,2.15000e+02,-7.89964e+02,
2.20000e+02,-5.96670e+02,2.20000e+02,-8.45729e+02,
2.25000e+02,-6.62184e+02,2.25000e+02,-8.36228e+02,
2.30000e+02,-6.92514e+02,2.30000e+02,-8.31168e+02,
2.35000e+02,-7.13089e+02,2.35000e+02,-9.21166e+02,
2.40000e+02,-7.43084e+02,2.40000e+02,-1.02747e+03,
2.45000e+02,-7.68525e+02,2.45000e+02,-1.08778e+03,
2.50000e+02,-7.92441e+02,2.50000e+02,-1.14300e+03,
2.55000e+02,-7.99196e+02,2.55000e+02,-1.18545e+03,
2.60000e+02,-7.62653e+02,2.60000e+02,-1.23336e+03,
2.65000e+02,-6.10572e+02,2.65000e+02,-1.26555e+03,
2.70000e+02,-7.05269e+02,2.70000e+02,-1.33240e+03,
2.75000e+02,-7.20342e+02,2.75000e+02,-1.14341e+03,
2.80000e+02,-8.37994e+02,2.80000e+02,-9.86913e+02,
2.85000e+02,-8.82571e+02,2.85000e+02,-1.09666e+03,
2.90000e+02,-8.93067e+02,2.90000e+02,-1.11372e+03,
2.95000e+02,-8.66695e+02,2.95000e+02,-1.15482e+03,
3.00000e+02,-7.92540e+02,3.00000e+02,-1.15678e+03,
