Export File Created with QBlade v0.96 64bit on 09.07.2020 at 17:00:12
_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.14 6panel,_TSR4.5 solidity=0.14 6panel,
Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],
2.70000e+02,1.22407e+02,2.70000e+02,1.52398e+02,
2.75000e+02,1.16843e+02,2.75000e+02,1.49028e+02,
2.80000e+02,1.23532e+02,2.80000e+02,1.55987e+02,
2.85000e+02,1.23057e+02,2.85000e+02,1.55028e+02,
2.90000e+02,1.19289e+02,2.90000e+02,1.50168e+02,
2.95000e+02,1.12956e+02,2.95000e+02,1.41835e+02,
3.00000e+02,1.04291e+02,3.00000e+02,1.30127e+02,
3.05000e+02,9.40265e+01,3.05000e+02,1.16570e+02,
3.10000e+02,8.25888e+01,3.10000e+02,1.01311e+02,
3.15000e+02,7.02136e+01,3.15000e+02,8.48778e+01,
3.20000e+02,5.70922e+01,3.20000e+02,6.75241e+01,
3.25000e+02,4.34833e+01,3.25000e+02,4.96263e+01,
3.30000e+02,2.99009e+01,3.30000e+02,3.18452e+01,
3.35000e+02,1.67038e+01,3.35000e+02,1.46160e+01,
3.40000e+02,4.34790e+00,3.40000e+02,-1.45435e+00,
3.45000e+02,-6.88535e+00,3.45000e+02,-1.52442e+01,
3.50000e+02,-1.55080e+01,3.50000e+02,-2.58543e+01,
3.55000e+02,-2.08255e+01,3.55000e+02,-3.24183e+01,
0.00000e+00,-2.28179e+01,0.00000e+00,-3.46857e+01,
5.00000e+00,-2.18098e+01,5.00000e+00,-3.31532e+01,
1.00000e+01,-1.80973e+01,1.00000e+01,-2.82565e+01,
1.50000e+01,-1.08734e+01,1.50000e+01,-1.98663e+01,
2.00000e+01,-5.27929e-01,2.00000e+01,-7.01364e+00,
2.50000e+01,1.23123e+01,2.50000e+01,8.74334e+00,
3.00000e+01,2.71281e+01,3.00000e+01,2.75380e+01,
3.50000e+01,4.08765e+01,3.50000e+01,4.71396e+01,
4.00000e+01,5.42130e+01,4.00000e+01,6.51668e+01,
4.50000e+01,6.79357e+01,4.50000e+01,8.26763e+01,
5.00000e+01,8.05805e+01,5.00000e+01,9.94088e+01,
5.50000e+01,9.21339e+01,5.50000e+01,1.14963e+02,
6.00000e+01,1.02563e+02,6.00000e+01,1.28824e+02,
6.50000e+01,1.11292e+02,6.50000e+01,1.40236e+02,
7.00000e+01,1.18288e+02,7.00000e+01,1.49295e+02,
7.50000e+01,1.23571e+02,7.50000e+01,1.55815e+02,
8.00000e+01,1.26990e+02,8.00000e+01,1.59925e+02,
8.50000e+01,1.28619e+02,8.50000e+01,1.61702e+02,
9.00000e+01,1.28410e+02,9.00000e+01,1.61197e+02,
9.50000e+01,1.26379e+02,9.50000e+01,1.58446e+02,
1.00000e+02,1.22649e+02,1.00000e+02,1.53473e+02,
1.05000e+02,1.17327e+02,1.05000e+02,1.46416e+02,
1.10000e+02,1.10568e+02,1.10000e+02,1.37493e+02,
1.15000e+02,1.02548e+02,1.15000e+02,1.26899e+02,
1.20000e+02,9.33198e+01,1.20000e+02,1.14875e+02,
1.25000e+02,8.32592e+01,1.25000e+02,1.01734e+02,
1.30000e+02,7.25308e+01,1.30000e+02,8.75444e+01,
1.35000e+02,6.13928e+01,1.35000e+02,7.28551e+01,
1.40000e+02,4.99026e+01,1.40000e+02,5.77218e+01,
1.45000e+02,3.84617e+01,1.45000e+02,4.27775e+01,
1.50000e+02,2.72711e+01,1.50000e+02,2.79395e+01,
1.55000e+02,1.63951e+01,1.55000e+02,1.29869e+01,
1.60000e+02,5.35569e+00,1.60000e+02,-7.72955e-02,
1.65000e+02,-2.94722e+00,1.65000e+02,-9.07667e+00,
1.70000e+02,-7.93508e+00,1.70000e+02,-1.36869e+01,
1.75000e+02,-9.51690e+00,1.75000e+02,-1.41567e+01,
1.80000e+02,-7.02813e+00,1.80000e+02,-8.78041e+00,
1.85000e+02,-1.34332e-01,1.85000e+02,2.15868e+00,
