Export File Created with QBlade v0.96 64bit on 09.07.2020 at 17:39:15
_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,
Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],
2.70000e+02,-7.16706e+02,
2.75000e+02,-9.81233e+02,
2.80000e+02,-1.11430e+03,
2.85000e+02,-1.04061e+03,
2.90000e+02,-1.04947e+03,
2.95000e+02,-1.02246e+03,
3.00000e+02,-1.00144e+03,
3.05000e+02,-9.72049e+02,
3.10000e+02,-8.54015e+02,
3.15000e+02,-8.21505e+02,
3.20000e+02,-7.81973e+02,
3.25000e+02,-7.43988e+02,
3.30000e+02,-7.63774e+02,
3.35000e+02,-7.44225e+02,
3.40000e+02,-6.87184e+02,
3.45000e+02,-5.83257e+02,
3.50000e+02,-4.54818e+02,
3.55000e+02,-3.18582e+02,
0.00000e+00,-1.75474e+02,
5.00000e+00,-4.66436e+01,
1.00000e+01,7.89912e+01,
1.50000e+01,2.14927e+02,
2.00000e+01,3.53688e+02,
2.50000e+01,4.80714e+02,
3.00000e+01,6.01129e+02,
3.50000e+01,6.88814e+02,
4.00000e+01,7.45534e+02,
4.50000e+01,7.90604e+02,
5.00000e+01,8.27743e+02,
5.50000e+01,8.77349e+02,
6.00000e+01,9.68456e+02,
6.50000e+01,9.91687e+02,
7.00000e+01,1.12639e+03,
7.50000e+01,1.06739e+03,
8.00000e+01,1.22549e+03,
8.50000e+01,9.78517e+02,
9.00000e+01,1.13895e+03,
9.50000e+01,9.54421e+02,
1.00000e+02,9.81439e+02,
1.05000e+02,8.54846e+02,
1.10000e+02,8.00908e+02,
1.15000e+02,7.18251e+02,
1.20000e+02,6.59199e+02,
1.25000e+02,5.60940e+02,
1.30000e+02,4.89983e+02,
1.35000e+02,4.23895e+02,
1.40000e+02,3.90044e+02,
1.45000e+02,3.50988e+02,
1.50000e+02,3.27066e+02,
1.55000e+02,2.86983e+02,
1.60000e+02,2.11488e+02,
1.65000e+02,1.29131e+02,
1.70000e+02,4.05385e+01,
1.75000e+02,-4.23484e+01,
1.80000e+02,-1.53105e+02,
1.85000e+02,-2.70832e+02,
1.90000e+02,-3.49602e+02,
1.95000e+02,-4.20159e+02,
2.00000e+02,-4.72784e+02,
2.05000e+02,-5.41348e+02,
2.10000e+02,-6.39026e+02,
2.15000e+02,-7.50396e+02,
2.20000e+02,-8.65232e+02,
2.25000e+02,-8.83978e+02,
2.30000e+02,-9.22279e+02,
2.35000e+02,-9.19210e+02,
2.40000e+02,-9.01852e+02,
2.45000e+02,-9.03925e+02,
2.50000e+02,-9.07671e+02,
2.55000e+02,-9.18270e+02,
2.60000e+02,-9.30528e+02,
2.65000e+02,-9.42562e+02,
2.70000e+02,-9.52739e+02,
2.75000e+02,-9.60098e+02,
2.80000e+02,-9.64810e+02,
2.85000e+02,-9.66802e+02,
2.90000e+02,-9.63142e+02,
2.95000e+02,-9.49933e+02,
3.00000e+02,-9.29712e+02,
3.05000e+02,-8.18829e+02,
3.10000e+02,-8.05880e+02,
3.15000e+02,-7.53376e+02,
3.20000e+02,-7.34232e+02,
3.25000e+02,-7.52456e+02,
3.30000e+02,-8.01403e+02,
3.35000e+02,-7.13132e+02,
3.40000e+02,-6.73779e+02,
3.45000e+02,-6.89519e+02,
3.50000e+02,-6.05867e+02,
3.55000e+02,-5.17871e+02,
0.00000e+00,-3.70245e+02,
5.00000e+00,-2.24656e+02,
1.00000e+01,-8.41809e+01,
1.50000e+01,6.81679e+01,
2.00000e+01,2.29688e+02,
2.50000e+01,3.80147e+02,
3.00000e+01,5.15729e+02,
3.50000e+01,6.31254e+02,
4.00000e+01,7.08867e+02,
4.50000e+01,7.56263e+02,
5.00000e+01,7.98290e+02,
5.50000e+01,8.29366e+02,
6.00000e+01,9.27986e+02,
6.50000e+01,9.53228e+02,
7.00000e+01,1.05398e+03,
7.50000e+01,1.07743e+03,
8.00000e+01,1.10910e+03,
8.50000e+01,1.09413e+03,
9.00000e+01,1.08322e+03,
9.50000e+01,1.01655e+03,
1.00000e+02,9.65105e+02,
1.05000e+02,8.76686e+02,
1.10000e+02,7.91849e+02,
1.15000e+02,7.22546e+02,
1.20000e+02,6.57886e+02,
1.25000e+02,5.57823e+02,
1.30000e+02,4.91633e+02,
1.35000e+02,4.21328e+02,
1.40000e+02,3.91423e+02,
1.45000e+02,3.52771e+02,
1.50000e+02,3.26998e+02,
1.55000e+02,2.84885e+02,
1.60000e+02,2.07233e+02,
1.65000e+02,1.22229e+02,
1.70000e+02,3.21057e+01,
1.75000e+02,-5.64815e+01,
1.80000e+02,-1.74917e+02,
1.85000e+02,-2.96106e+02,
1.90000e+02,-3.64194e+02,
1.95000e+02,-4.43910e+02,
2.00000e+02,-4.86348e+02,
2.05000e+02,-5.64882e+02,
2.10000e+02,-7.53235e+02,
2.15000e+02,-9.42591e+02,
2.20000e+02,-9.47351e+02,
2.25000e+02,-9.06708e+02,
2.30000e+02,-8.90998e+02,
2.35000e+02,-9.02945e+02,
2.40000e+02,-8.83509e+02,
2.45000e+02,-1.14129e+03,
2.50000e+02,-5.74191e+02,
2.55000e+02,-8.68072e+02,
2.60000e+02,-8.02672e+02,
2.65000e+02,-9.19031e+02,
2.70000e+02,-1.01147e+03,
2.75000e+02,-9.55403e+02,
2.80000e+02,-9.61479e+02,
2.85000e+02,-9.64419e+02,
2.90000e+02,-6.72655e+02,
2.95000e+02,-7.88060e+02,
3.00000e+02,-8.71339e+02,
3.05000e+02,-1.09515e+03,
3.10000e+02,-8.58482e+02,
3.15000e+02,-9.59167e+02,
3.20000e+02,-5.90133e+02,
3.25000e+02,-7.08247e+02,
3.30000e+02,-7.15786e+02,
