Export File Created with QBlade v0.96 64bit on 09.07.2020 at 17:39:04
_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,
Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],
2.70000e+02,7.50835e+01,
2.75000e+02,1.08411e+02,
2.80000e+02,1.21951e+02,
2.85000e+02,1.09710e+02,
2.90000e+02,1.13233e+02,
2.95000e+02,1.02698e+02,
3.00000e+02,9.41158e+01,
3.05000e+02,8.29338e+01,
3.10000e+02,6.36829e+01,
3.15000e+02,5.55172e+01,
3.20000e+02,4.23053e+01,
3.25000e+02,2.98705e+01,
3.30000e+02,2.25580e+01,
3.35000e+02,1.14756e+01,
3.40000e+02,8.14490e-01,
3.45000e+02,-8.78615e+00,
3.50000e+02,-1.60513e+01,
3.55000e+02,-2.07303e+01,
0.00000e+00,-2.25803e+01,
5.00000e+00,-2.17470e+01,
1.00000e+01,-1.84438e+01,
1.50000e+01,-1.20352e+01,
2.00000e+01,-2.79821e+00,
2.50000e+01,8.58770e+00,
3.00000e+01,2.22040e+01,
3.50000e+01,3.53849e+01,
4.00000e+01,4.82622e+01,
4.50000e+01,6.14420e+01,
5.00000e+01,7.39889e+01,
5.50000e+01,8.84376e+01,
6.00000e+01,1.09131e+02,
6.50000e+01,1.18454e+02,
7.00000e+01,1.46029e+02,
7.50000e+01,1.37465e+02,
8.00000e+01,1.70957e+02,
8.50000e+01,1.29083e+02,
9.00000e+01,1.72731e+02,
9.50000e+01,1.30550e+02,
1.00000e+02,1.47056e+02,
1.05000e+02,1.21675e+02,
1.10000e+02,1.17379e+02,
1.15000e+02,1.02004e+02,
1.20000e+02,9.14768e+01,
1.25000e+02,7.34573e+01,
1.30000e+02,6.13374e+01,
1.35000e+02,4.83256e+01,
1.40000e+02,3.96211e+01,
1.45000e+02,2.97172e+01,
1.50000e+02,2.25803e+01,
1.55000e+02,1.41391e+01,
1.60000e+02,4.89014e+00,
1.65000e+02,-2.17980e+00,
1.70000e+02,-7.23176e+00,
1.75000e+02,-9.49358e+00,
1.80000e+02,-8.84950e+00,
1.85000e+02,-3.83625e+00,
1.90000e+02,3.60303e+00,
1.95000e+02,1.34638e+01,
2.00000e+02,2.36748e+01,
2.05000e+02,3.45283e+01,
2.10000e+02,4.80658e+01,
2.15000e+02,6.27503e+01,
2.20000e+02,7.83673e+01,
2.25000e+02,8.41160e+01,
2.30000e+02,9.78953e+01,
2.35000e+02,1.02824e+02,
2.40000e+02,1.06787e+02,
2.45000e+02,1.11531e+02,
2.50000e+02,1.13798e+02,
2.55000e+02,1.16079e+02,
2.60000e+02,1.17083e+02,
2.65000e+02,1.16815e+02,
2.70000e+02,1.15104e+02,
2.75000e+02,1.11972e+02,
2.80000e+02,1.08258e+02,
2.85000e+02,1.03740e+02,
2.90000e+02,9.71196e+01,
2.95000e+02,8.87896e+01,
3.00000e+02,7.91005e+01,
3.05000e+02,6.12214e+01,
3.10000e+02,5.55500e+01,
3.15000e+02,4.14326e+01,
3.20000e+02,3.31918e+01,
3.25000e+02,3.15654e+01,
3.30000e+02,3.74916e+01,
3.35000e+02,2.00868e+01,
3.40000e+02,6.66984e+00,
3.45000e+02,4.50693e+00,
3.50000e+02,-5.38453e+00,
3.55000e+02,-1.16408e+01,
0.00000e+00,-1.87326e+01,
5.00000e+00,-2.19282e+01,
1.00000e+01,-2.19903e+01,
1.50000e+01,-1.85088e+01,
2.00000e+01,-1.08697e+01,
2.50000e+01,-3.15012e-01,
3.00000e+01,1.27120e+01,
3.50000e+01,2.69853e+01,
4.00000e+01,4.04604e+01,
4.50000e+01,5.34057e+01,
5.00000e+01,6.66160e+01,
5.50000e+01,7.83090e+01,
6.00000e+01,1.00092e+02,
6.50000e+01,1.09434e+02,
7.00000e+01,1.32048e+02,
7.50000e+01,1.38362e+02,
8.00000e+01,1.48333e+02,
8.50000e+01,1.48875e+02,
9.00000e+01,1.51268e+02,
9.50000e+01,1.42650e+02,
1.00000e+02,1.38601e+02,
1.05000e+02,1.25775e+02,
1.10000e+02,1.14222e+02,
1.15000e+02,1.03051e+02,
1.20000e+02,9.07697e+01,
1.25000e+02,7.28746e+01,
1.30000e+02,6.14951e+01,
1.35000e+02,4.76318e+01,
1.40000e+02,3.96688e+01,
1.45000e+02,2.95896e+01,
1.50000e+02,2.22636e+01,
1.55000e+02,1.36795e+01,
1.60000e+02,4.39817e+00,
1.65000e+02,-2.71679e+00,
1.70000e+02,-7.62766e+00,
1.75000e+02,-9.70170e+00,
1.80000e+02,-8.35733e+00,
1.85000e+02,-2.34417e+00,
1.90000e+02,4.46402e+00,
1.95000e+02,1.62781e+01,
2.00000e+02,2.50416e+01,
2.05000e+02,3.72400e+01,
2.10000e+02,6.04244e+01,
2.15000e+02,8.54357e+01,
2.20000e+02,9.46477e+01,
2.25000e+02,8.42416e+01,
2.30000e+02,9.05919e+01,
2.35000e+02,1.02928e+02,
2.40000e+02,1.07947e+02,
2.45000e+02,3.44324e+02,
2.50000e+02,4.93409e+01,
2.55000e+02,1.14330e+02,
2.60000e+02,9.09702e+01,
2.65000e+02,1.02921e+02,
2.70000e+02,1.10142e+02,
2.75000e+02,1.04186e+02,
2.80000e+02,1.00138e+02,
2.85000e+02,1.06144e+02,
2.90000e+02,5.87878e+01,
2.95000e+02,7.82247e+01,
3.00000e+02,7.35286e+01,
3.05000e+02,9.72948e+01,
3.10000e+02,5.98479e+01,
3.15000e+02,7.33690e+01,
3.20000e+02,7.66927e+00,
3.25000e+02,2.42311e+01,
3.30000e+02,2.08017e+01,
3.35000e+02,1.41000e+01,
3.40000e+02,4.42297e+00,
3.45000e+02,7.38547e+00,
3.50000e+02,-6.07247e+00,
3.55000e+02,-1.04737e+01,
0.00000e+00,-1.80895e+01,
5.00000e+00,-2.17631e+01,
1.00000e+01,-2.21036e+01,
1.50000e+01,-1.91160e+01,
2.00000e+01,-1.13432e+01,
2.50000e+01,-9.45286e-01,
3.00000e+01,1.21154e+01,
3.50000e+01,2.63644e+01,
