Export File Created with QBlade v0.96 64bit on 09.07.2020 at 18:19:05
_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.14 ua 4-2,_TSR4.5 solidity=0.14 ua 4-2,
Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],
2.70000e+02,-7.16706e+02,2.70000e+02,-1.05636e+03,
2.75000e+02,-9.81233e+02,2.75000e+02,-1.25224e+03,
2.80000e+02,-1.11430e+03,2.80000e+02,-1.36556e+03,
2.85000e+02,-1.04061e+03,2.85000e+02,-1.40639e+03,
2.90000e+02,-1.04947e+03,2.90000e+02,-1.42583e+03,
2.95000e+02,-1.02246e+03,2.95000e+02,-1.42615e+03,
3.00000e+02,-1.00144e+03,3.00000e+02,-1.41180e+03,
3.05000e+02,-9.72049e+02,3.05000e+02,-1.38253e+03,
3.10000e+02,-8.54015e+02,3.10000e+02,-1.31471e+03,
3.15000e+02,-8.21505e+02,3.15000e+02,-1.15065e+03,
3.20000e+02,-7.81973e+02,3.20000e+02,-1.09577e+03,
3.25000e+02,-7.43988e+02,3.25000e+02,-1.00201e+03,
3.30000e+02,-7.63774e+02,3.30000e+02,-9.94129e+02,
3.35000e+02,-7.44225e+02,3.35000e+02,-1.00586e+03,
3.40000e+02,-6.87184e+02,3.40000e+02,-9.78603e+02,
3.45000e+02,-5.83257e+02,3.45000e+02,-8.77833e+02,
3.50000e+02,-4.54818e+02,3.50000e+02,-7.17270e+02,
3.55000e+02,-3.18582e+02,3.55000e+02,-5.34891e+02,
0.00000e+00,-1.75474e+02,0.00000e+00,-3.39905e+02,
5.00000e+00,-4.66436e+01,5.00000e+00,-1.48458e+02,
1.00000e+01,7.89912e+01,1.00000e+01,2.32157e+01,
1.50000e+01,2.14927e+02,1.50000e+01,2.02229e+02,
2.00000e+01,3.53688e+02,2.00000e+01,3.93844e+02,
2.50000e+01,4.80714e+02,2.50000e+01,5.74290e+02,
3.00000e+01,6.01129e+02,3.00000e+01,7.45924e+02,
3.50000e+01,6.88814e+02,3.50000e+01,8.90186e+02,
4.00000e+01,7.45534e+02,4.00000e+01,9.88329e+02,
4.50000e+01,7.90604e+02,4.50000e+01,1.05200e+03,
5.00000e+01,8.27743e+02,5.00000e+01,1.10801e+03,
5.50000e+01,8.77349e+02,5.50000e+01,1.14799e+03,
6.00000e+01,9.68456e+02,6.00000e+01,1.20258e+03,
6.50000e+01,9.91687e+02,6.50000e+01,1.31929e+03,
7.00000e+01,1.12639e+03,7.00000e+01,1.41508e+03,
7.50000e+01,1.06739e+03,7.50000e+01,1.52032e+03,
8.00000e+01,1.22549e+03,8.00000e+01,1.48995e+03,
8.50000e+01,9.78517e+02,8.50000e+01,1.44833e+03,
9.00000e+01,1.13895e+03,9.00000e+01,1.46549e+03,
9.50000e+01,9.54421e+02,9.50000e+01,1.32064e+03,
1.00000e+02,9.81439e+02,1.00000e+02,1.33419e+03,
1.05000e+02,8.54846e+02,1.05000e+02,1.13958e+03,
1.10000e+02,8.00908e+02,1.10000e+02,1.14930e+03,
1.15000e+02,7.18251e+02,1.15000e+02,9.22868e+02,
1.20000e+02,6.59199e+02,1.20000e+02,8.83341e+02,
1.25000e+02,5.60940e+02,1.25000e+02,7.94413e+02,
1.30000e+02,4.89983e+02,1.30000e+02,6.52323e+02,
1.35000e+02,4.23895e+02,1.35000e+02,5.85185e+02,
1.40000e+02,3.90044e+02,1.40000e+02,5.26689e+02,
1.45000e+02,3.50988e+02,1.45000e+02,4.82669e+02,
1.50000e+02,3.27066e+02,1.50000e+02,4.25591e+02,
1.55000e+02,2.86983e+02,1.55000e+02,3.28951e+02,
1.60000e+02,2.11488e+02,1.60000e+02,2.06839e+02,
1.65000e+02,1.29131e+02,1.65000e+02,7.94396e+01,
1.70000e+02,4.05385e+01,1.70000e+02,-4.39939e+01,
1.75000e+02,-4.23484e+01,1.75000e+02,-1.97398e+02,
1.80000e+02,-1.53105e+02,1.80000e+02,-3.53527e+02,
1.85000e+02,-2.70832e+02,1.85000e+02,-4.72752e+02,
1.90000e+02,-3.49602e+02,1.90000e+02,-5.67008e+02,
