Export File Created with QBlade v0.96 64bit on 09.07.2020 at 18:18:56
_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.14 ua 4-2,_TSR4.5 solidity=0.14 ua 4-2,
Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],
2.70000e+02,7.50835e+01,2.70000e+02,1.10814e+02,
2.75000e+02,1.08411e+02,2.75000e+02,1.32695e+02,
2.80000e+02,1.21951e+02,2.80000e+02,1.46541e+02,
2.85000e+02,1.09710e+02,2.85000e+02,1.47188e+02,
2.90000e+02,1.13233e+02,2.90000e+02,1.43941e+02,
2.95000e+02,1.02698e+02,2.95000e+02,1.37056e+02,
3.00000e+02,9.41158e+01,3.00000e+02,1.25490e+02,
3.05000e+02,8.29338e+01,3.05000e+02,1.11841e+02,
3.10000e+02,6.36829e+01,3.10000e+02,9.40466e+01,
3.15000e+02,5.55172e+01,3.15000e+02,6.98209e+01,
3.20000e+02,4.23053e+01,3.20000e+02,5.63494e+01,
3.25000e+02,2.98705e+01,3.25000e+02,3.62141e+01,
3.30000e+02,2.25580e+01,3.30000e+02,2.43291e+01,
3.35000e+02,1.14756e+01,3.35000e+02,1.22875e+01,
3.40000e+02,8.14490e-01,3.40000e+02,-1.67249e+00,
3.45000e+02,-8.78615e+00,3.45000e+02,-1.49155e+01,
3.50000e+02,-1.60513e+01,3.50000e+02,-2.51831e+01,
3.55000e+02,-2.07303e+01,3.55000e+02,-3.17570e+01,
0.00000e+00,-2.25803e+01,0.00000e+00,-3.42531e+01,
5.00000e+00,-2.17470e+01,5.00000e+00,-3.29006e+01,
1.00000e+01,-1.84438e+01,1.00000e+01,-2.81880e+01,
1.50000e+01,-1.20352e+01,1.50000e+01,-1.98189e+01,
2.00000e+01,-2.79821e+00,2.00000e+01,-6.94401e+00,
2.50000e+01,8.58770e+00,2.50000e+01,8.93018e+00,
3.00000e+01,2.22040e+01,3.00000e+01,2.79547e+01,
3.50000e+01,3.53849e+01,3.50000e+01,4.77409e+01,
4.00000e+01,4.82622e+01,4.00000e+01,6.61600e+01,
4.50000e+01,6.14420e+01,4.50000e+01,8.38726e+01,
5.00000e+01,7.39889e+01,5.00000e+01,1.02113e+02,
5.50000e+01,8.84376e+01,5.50000e+01,1.17795e+02,
6.00000e+01,1.09131e+02,6.00000e+01,1.35668e+02,
6.50000e+01,1.18454e+02,6.50000e+01,1.63250e+02,
7.00000e+01,1.46029e+02,7.00000e+01,1.84923e+02,
7.50000e+01,1.37465e+02,7.50000e+01,2.08100e+02,
8.00000e+01,1.70957e+02,8.00000e+01,2.08039e+02,
8.50000e+01,1.29083e+02,8.50000e+01,2.09160e+02,
9.00000e+01,1.72731e+02,9.00000e+01,2.16394e+02,
9.50000e+01,1.30550e+02,9.50000e+01,1.92790e+02,
1.00000e+02,1.47056e+02,1.00000e+02,1.99894e+02,
1.05000e+02,1.21675e+02,1.05000e+02,1.64908e+02,
1.10000e+02,1.17379e+02,1.10000e+02,1.70256e+02,
1.15000e+02,1.02004e+02,1.15000e+02,1.28402e+02,
1.20000e+02,9.14768e+01,1.20000e+02,1.24225e+02,
1.25000e+02,7.34573e+01,1.25000e+02,1.04242e+02,
1.30000e+02,6.13374e+01,1.30000e+02,7.78656e+01,
1.35000e+02,4.83256e+01,1.35000e+02,6.45638e+01,
1.40000e+02,3.96211e+01,1.40000e+02,5.08127e+01,
1.45000e+02,2.97172e+01,1.45000e+02,3.94216e+01,
1.50000e+02,2.25803e+01,1.50000e+02,2.70165e+01,
1.55000e+02,1.41391e+01,1.55000e+02,1.32113e+01,
1.60000e+02,4.89014e+00,1.60000e+02,6.40741e-01,
1.65000e+02,-2.17980e+00,1.65000e+02,-8.53241e+00,
1.70000e+02,-7.23176e+00,1.70000e+02,-1.36646e+01,
1.75000e+02,-9.49358e+00,1.75000e+02,-1.48310e+01,
1.80000e+02,-8.84950e+00,1.80000e+02,-1.03775e+01,
1.85000e+02,-3.83625e+00,1.85000e+02,-9.27824e-01,
1.90000e+02,3.60303e+00,1.90000e+02,1.22617e+01,
1.95000e+02,1.34638e+01,1.95000e+02,2.57661e+01,
2.00000e+02,2.36748e+01,2.00000e+02,4.17638e+01,
2.05000e+02,3.45283e+01,2.05000e+02,6.02643e+01,
2.10000e+02,4.80658e+01,2.10000e+02,6.74802e+01,
2.15000e+02,6.27503e+01,2.15000e+02,9.99247e+01,
2.20000e+02,7.83673e+01,2.20000e+02,1.02859e+02,
2.25000e+02,8.41160e+01,2.25000e+02,1.22591e+02,
2.30000e+02,9.78953e+01,2.30000e+02,1.36004e+02,
2.35000e+02,1.02824e+02,2.35000e+02,1.44409e+02,
2.40000e+02,1.06787e+02,2.40000e+02,1.45154e+02,
2.45000e+02,1.11531e+02,2.45000e+02,1.48681e+02,
2.50000e+02,1.13798e+02,2.50000e+02,1.51723e+02,
2.55000e+02,1.16079e+02,2.55000e+02,1.55643e+02,
2.60000e+02,1.17083e+02,2.60000e+02,1.57807e+02,
2.65000e+02,1.16815e+02,2.65000e+02,1.57128e+02,
2.70000e+02,1.15104e+02,2.70000e+02,1.53469e+02,
