Export File Created with QBlade v0.96 64bit on 09.07.2020 at 19:01:04
_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.14 6panel,_TSR4.5 solidity=0.14 6panel,_TSR4.5 solidity=0.14 6panel UAVL,_TSR4.5 solidity=0.14 6panel UAVL,_TSR4.5 solidity=0.14 ua 4-2,_TSR4.5 solidity=0.14 ua 4-2,
Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],
2.70000e+02,-9.66652e+02,2.70000e+02,-7.16706e+02,2.70000e+02,-1.33710e+03,2.70000e+02,-1.03785e+03,2.70000e+02,-1.05636e+03,
2.75000e+02,-9.78812e+02,2.75000e+02,-9.81233e+02,2.75000e+02,-1.36762e+03,2.75000e+02,-1.25532e+03,2.75000e+02,-1.25224e+03,
2.80000e+02,-1.02167e+03,2.80000e+02,-1.11430e+03,2.80000e+02,-1.42275e+03,2.80000e+02,-1.38279e+03,2.80000e+02,-1.36556e+03,
2.85000e+02,-1.04500e+03,2.85000e+02,-1.04061e+03,2.85000e+02,-1.45481e+03,2.85000e+02,-1.40772e+03,2.85000e+02,-1.40639e+03,
2.90000e+02,-1.05598e+03,2.90000e+02,-1.04947e+03,2.90000e+02,-1.47080e+03,2.90000e+02,-1.42548e+03,2.90000e+02,-1.42583e+03,
2.95000e+02,-1.05787e+03,2.95000e+02,-1.02246e+03,2.95000e+02,-1.47476e+03,2.95000e+02,-1.42106e+03,2.95000e+02,-1.42615e+03,
3.00000e+02,-1.05223e+03,3.00000e+02,-1.00144e+03,3.00000e+02,-1.46886e+03,3.00000e+02,-1.40393e+03,3.00000e+02,-1.41180e+03,
3.05000e+02,-1.03927e+03,3.05000e+02,-9.72049e+02,3.05000e+02,-1.45154e+03,3.05000e+02,-1.37262e+03,3.05000e+02,-1.38253e+03,
3.10000e+02,-1.01882e+03,3.10000e+02,-8.54015e+02,3.10000e+02,-1.42506e+03,3.10000e+02,-1.26436e+03,3.10000e+02,-1.31471e+03,
3.15000e+02,-9.92019e+02,3.15000e+02,-8.21505e+02,3.15000e+02,-1.38902e+03,3.15000e+02,-1.15207e+03,3.15000e+02,-1.15065e+03,
3.20000e+02,-9.58210e+02,3.20000e+02,-7.81973e+02,3.20000e+02,-1.34401e+03,3.20000e+02,-1.06354e+03,3.20000e+02,-1.09577e+03,
3.25000e+02,-9.15355e+02,3.25000e+02,-7.43988e+02,3.25000e+02,-1.28647e+03,3.25000e+02,-1.00601e+03,3.25000e+02,-1.00201e+03,
3.30000e+02,-8.63332e+02,3.30000e+02,-7.63774e+02,3.30000e+02,-1.21726e+03,3.30000e+02,-9.98694e+02,3.30000e+02,-9.94129e+02,
3.35000e+02,-8.03279e+02,3.35000e+02,-7.44225e+02,3.35000e+02,-1.13725e+03,3.35000e+02,-1.00305e+03,3.35000e+02,-1.00586e+03,
3.40000e+02,-7.32773e+02,3.40000e+02,-6.87184e+02,3.40000e+02,-1.04460e+03,3.40000e+02,-9.72159e+02,3.40000e+02,-9.78603e+02,
3.45000e+02,-6.20681e+02,3.45000e+02,-5.83257e+02,3.45000e+02,-9.08330e+02,3.45000e+02,-8.65615e+02,3.45000e+02,-8.77833e+02,
3.50000e+02,-4.79624e+02,3.50000e+02,-4.54818e+02,3.50000e+02,-7.29208e+02,3.50000e+02,-7.08450e+02,3.50000e+02,-7.17270e+02,
3.55000e+02,-3.34045e+02,3.55000e+02,-3.18582e+02,3.55000e+02,-5.37463e+02,3.55000e+02,-5.27673e+02,3.55000e+02,-5.34891e+02,
0.00000e+00,-1.81754e+02,0.00000e+00,-1.75474e+02,0.00000e+00,-3.41290e+02,0.00000e+00,-3.35777e+02,0.00000e+00,-3.39905e+02,
5.00000e+00,-4.63755e+01,5.00000e+00,-4.66436e+01,5.00000e+00,-1.51564e+02,5.00000e+00,-1.49428e+02,5.00000e+00,-1.48458e+02,
1.00000e+01,8.49064e+01,1.00000e+01,7.89912e+01,1.00000e+01,2.02610e+01,1.00000e+01,2.19462e+01,1.00000e+01,2.32157e+01,
1.50000e+01,2.29301e+02,1.50000e+01,2.14927e+02,1.50000e+01,1.96467e+02,1.50000e+01,1.97359e+02,1.50000e+01,2.02229e+02,
2.00000e+01,3.75030e+02,2.00000e+01,3.53688e+02,2.00000e+01,3.85400e+02,2.00000e+01,3.85980e+02,2.00000e+01,3.93844e+02,
2.50000e+01,5.09558e+02,2.50000e+01,4.80714e+02,2.50000e+01,5.63273e+02,2.50000e+01,5.63810e+02,2.50000e+01,5.74290e+02,
3.00000e+01,6.32438e+02,3.00000e+01,6.01129e+02,3.00000e+01,7.32032e+02,3.00000e+01,7.32720e+02,3.00000e+01,7.45924e+02,
3.50000e+01,7.14407e+02,3.50000e+01,6.88814e+02,3.50000e+01,8.75153e+02,3.50000e+01,8.76083e+02,3.50000e+01,8.90186e+02,
4.00000e+01,7.66505e+02,4.00000e+01,7.45534e+02,4.00000e+01,9.72899e+02,4.00000e+01,9.73433e+02,4.00000e+01,9.88329e+02,
4.50000e+01,8.12840e+02,4.50000e+01,7.90604e+02,4.50000e+01,1.04031e+03,4.50000e+01,1.04151e+03,4.50000e+01,1.05200e+03,
5.00000e+01,8.48756e+02,5.00000e+01,8.27743e+02,5.00000e+01,1.09211e+03,5.00000e+01,1.09581e+03,5.00000e+01,1.10801e+03,
5.50000e+01,8.75271e+02,5.50000e+01,8.77349e+02,5.50000e+01,1.13285e+03,5.50000e+01,1.13642e+03,5.50000e+01,1.14799e+03,
6.00000e+01,8.93883e+02,6.00000e+01,9.68456e+02,6.00000e+01,1.16188e+03,6.00000e+01,1.18215e+03,6.00000e+01,1.20258e+03,
6.50000e+01,9.04024e+02,6.50000e+01,9.91687e+02,6.50000e+01,1.17796e+03,6.50000e+01,1.30903e+03,6.50000e+01,1.31929e+03,
7.00000e+01,9.07446e+02,7.00000e+01,1.12639e+03,7.00000e+01,1.18350e+03,7.00000e+01,1.36274e+03,7.00000e+01,1.41508e+03,
7.50000e+01,9.04309e+02,7.50000e+01,1.06739e+03,7.50000e+01,1.17889e+03,7.50000e+01,1.50349e+03,7.50000e+01,1.52032e+03,
8.00000e+01,8.95532e+02,8.00000e+01,1.22549e+03,8.00000e+01,1.16658e+03,8.00000e+01,1.49100e+03,8.00000e+01,1.48995e+03,
8.50000e+01,8.80438e+02,8.50000e+01,9.78517e+02,8.50000e+01,1.14633e+03,8.50000e+01,1.47496e+03,8.50000e+01,1.44833e+03,
9.00000e+01,8.60617e+02,9.00000e+01,1.13895e+03,9.00000e+01,1.11936e+03,9.00000e+01,1.44696e+03,9.00000e+01,1.46549e+03,
9.50000e+01,8.35995e+02,9.50000e+01,9.54421e+02,9.50000e+01,1.08625e+03,9.50000e+01,1.42177e+03,9.50000e+01,1.32064e+03,
1.00000e+02,8.07093e+02,1.00000e+02,9.81439e+02,1.00000e+02,1.04754e+03,1.00000e+02,1.32476e+03,1.00000e+02,1.33419e+03,
1.05000e+02,7.74190e+02,1.05000e+02,8.54846e+02,1.05000e+02,1.00387e+03,1.05000e+02,1.26482e+03,1.05000e+02,1.13958e+03,
1.10000e+02,7.38008e+02,1.10000e+02,8.00908e+02,1.10000e+02,9.55942e+02,1.10000e+02,1.06801e+03,1.10000e+02,1.14930e+03,
1.15000e+02,6.99044e+02,1.15000e+02,7.18251e+02,1.15000e+02,9.04243e+02,1.15000e+02,1.03087e+03,1.15000e+02,9.22868e+02,
1.20000e+02,6.57976e+02,1.20000e+02,6.59199e+02,1.20000e+02,8.49130e+02,1.20000e+02,8.88065e+02,1.20000e+02,8.83341e+02,
1.25000e+02,6.14570e+02,1.25000e+02,5.60940e+02,1.25000e+02,7.91404e+02,1.25000e+02,8.02536e+02,1.25000e+02,7.94413e+02,
1.30000e+02,5.70114e+02,1.30000e+02,4.89983e+02,1.30000e+02,7.30868e+02,1.30000e+02,6.60469e+02,1.30000e+02,6.52323e+02,
1.35000e+02,5.24345e+02,1.35000e+02,4.23895e+02,1.35000e+02,6.67583e+02,1.35000e+02,5.92701e+02,1.35000e+02,5.85185e+02,
1.40000e+02,4.76662e+02,1.40000e+02,3.90044e+02,1.40000e+02,6.00431e+02,1.40000e+02,5.33560e+02,1.40000e+02,5.26689e+02,
1.45000e+02,4.26822e+02,1.45000e+02,3.50988e+02,1.45000e+02,5.30435e+02,1.45000e+02,4.85751e+02,1.45000e+02,4.82669e+02,
1.50000e+02,3.74364e+02,1.50000e+02,3.27066e+02,1.50000e+02,4.48557e+02,1.50000e+02,4.25905e+02,1.50000e+02,4.25591e+02,
1.55000e+02,3.14316e+02,1.55000e+02,2.86983e+02,1.55000e+02,3.36706e+02,1.55000e+02,3.28765e+02,1.55000e+02,3.28951e+02,
1.60000e+02,2.23118e+02,1.60000e+02,2.11488e+02,1.60000e+02,2.04609e+02,1.60000e+02,2.07058e+02,1.60000e+02,2.06839e+02,
1.65000e+02,1.23663e+02,1.65000e+02,1.29131e+02,1.65000e+02,7.28274e+01,1.65000e+02,7.92076e+01,1.65000e+02,7.94396e+01,
1.70000e+02,2.55056e+01,1.70000e+02,4.05385e+01,1.70000e+02,-5.10461e+01,1.70000e+02,-4.67590e+01,1.70000e+02,-4.39939e+01,
1.75000e+02,-7.09436e+01,1.75000e+02,-4.23484e+01,1.75000e+02,-2.07019e+02,1.75000e+02,-2.01363e+02,1.75000e+02,-1.97398e+02,
1.80000e+02,-1.92528e+02,1.80000e+02,-1.53105e+02,1.80000e+02,-3.66498e+02,1.80000e+02,-3.57872e+02,1.80000e+02,-3.53527e+02,
1.85000e+02,-3.07879e+02,1.85000e+02,-2.70832e+02,1.85000e+02,-4.94866e+02,1.85000e+02,-4.78006e+02,1.85000e+02,-4.72752e+02,
1.90000e+02,-3.77469e+02,1.90000e+02,-3.49602e+02,1.90000e+02,-5.99506e+02,1.90000e+02,-5.71550e+02,1.90000e+02,-5.67008e+02,
1.95000e+02,-4.57569e+02,1.95000e+02,-4.20159e+02,1.95000e+02,-6.71865e+02,1.95000e+02,-6.49395e+02,1.95000e+02,-6.46346e+02,
2.00000e+02,-4.97594e+02,2.00000e+02,-4.72784e+02,2.00000e+02,-7.03376e+02,2.00000e+02,-7.39474e+02,2.00000e+02,-7.62781e+02,
2.05000e+02,-5.09835e+02,2.05000e+02,-5.41348e+02,2.05000e+02,-7.19707e+02,2.05000e+02,-9.10955e+02,2.05000e+02,-9.25041e+02,
2.10000e+02,-5.32209e+02,2.10000e+02,-6.39026e+02,2.10000e+02,-7.51315e+02,2.10000e+02,-9.57476e+02,2.10000e+02,-9.65395e+02,
2.15000e+02,-5.65862e+02,2.15000e+02,-7.50396e+02,2.15000e+02,-7.95799e+02,2.15000e+02,-1.16704e+03,2.15000e+02,-1.21019e+03,
2.20000e+02,-6.04066e+02,2.20000e+02,-8.65232e+02,2.20000e+02,-8.46067e+02,2.20000e+02,-1.26212e+03,2.20000e+02,-1.23918e+03,
2.25000e+02,-6.45403e+02,2.25000e+02,-8.83978e+02,2.25000e+02,-8.99350e+02,2.25000e+02,-1.36640e+03,2.25000e+02,-1.30937e+03,
2.30000e+02,-6.88650e+02,2.30000e+02,-9.22279e+02,2.30000e+02,-9.55226e+02,2.30000e+02,-1.45058e+03,2.30000e+02,-1.35129e+03,
2.35000e+02,-7.30149e+02,2.35000e+02,-9.19210e+02,2.35000e+02,-1.01231e+03,2.35000e+02,-1.51429e+03,2.35000e+02,-1.36496e+03,
2.40000e+02,-7.70731e+02,2.40000e+02,-9.01852e+02,2.40000e+02,-1.06754e+03,2.40000e+02,-1.53884e+03,2.40000e+02,-1.33376e+03,
2.45000e+02,-8.10684e+02,2.45000e+02,-9.03925e+02,2.45000e+02,-1.12199e+03,2.45000e+02,-1.54331e+03,2.45000e+02,-1.32500e+03,
2.50000e+02,-8.48207e+02,2.50000e+02,-9.07671e+02,2.50000e+02,-1.17407e+03,2.50000e+02,-1.53810e+03,2.50000e+02,-1.32444e+03,
2.55000e+02,-8.82741e+02,2.55000e+02,-9.18270e+02,2.55000e+02,-1.22167e+03,2.55000e+02,-1.53715e+03,2.55000e+02,-1.33727e+03,
2.60000e+02,-9.15755e+02,2.60000e+02,-9.30528e+02,2.60000e+02,-1.26431e+03,2.60000e+02,-1.54032e+03,2.60000e+02,-1.35369e+03,
2.65000e+02,-9.44856e+02,2.65000e+02,-9.42562e+02,2.65000e+02,-1.30207e+03,2.65000e+02,-1.53874e+03,2.65000e+02,-1.36593e+03,
2.70000e+02,-9.69898e+02,2.70000e+02,-9.52739e+02,2.70000e+02,-1.33414e+03,2.70000e+02,-1.45982e+03,2.70000e+02,-1.37174e+03,
2.75000e+02,-9.90819e+02,2.75000e+02,-9.60098e+02,2.75000e+02,-1.35839e+03,2.75000e+02,-1.43236e+03,2.75000e+02,-1.37186e+03,
2.80000e+02,-1.00667e+03,2.80000e+02,-9.64810e+02,2.80000e+02,-1.37087e+03,2.80000e+02,-1.40946e+03,2.80000e+02,-1.37035e+03,
2.85000e+02,-1.01245e+03,2.85000e+02,-9.66802e+02,2.85000e+02,-1.37599e+03,2.85000e+02,-1.39666e+03,2.85000e+02,-1.37091e+03,
2.90000e+02,-1.01295e+03,2.90000e+02,-9.63142e+02,2.90000e+02,-1.37455e+03,2.90000e+02,-1.37968e+03,2.90000e+02,-1.36479e+03,
2.95000e+02,-1.00665e+03,2.95000e+02,-9.49933e+02,2.95000e+02,-1.36830e+03,2.95000e+02,-1.35013e+03,2.95000e+02,-1.34729e+03,
3.00000e+02,-9.96205e+02,3.00000e+02,-9.29712e+02,3.00000e+02,-1.35845e+03,3.00000e+02,-1.31302e+03,3.00000e+02,-1.31770e+03,
3.05000e+02,-9.79298e+02,3.05000e+02,-8.18829e+02,3.05000e+02,-1.33604e+03,3.05000e+02,-1.13642e+03,3.05000e+02,-1.17797e+03,
3.10000e+02,-9.53340e+02,3.10000e+02,-8.05880e+02,3.10000e+02,-1.29772e+03,3.10000e+02,-1.13739e+03,3.10000e+02,-1.12572e+03,
3.15000e+02,-9.18462e+02,3.15000e+02,-7.53376e+02,3.15000e+02,-1.24491e+03,3.15000e+02,-1.01474e+03,3.15000e+02,-1.03132e+03,
3.20000e+02,-8.77925e+02,3.20000e+02,-7.34232e+02,3.20000e+02,-1.18629e+03,3.20000e+02,-1.00172e+03,3.20000e+02,-1.01765e+03,
3.25000e+02,-8.49244e+02,3.25000e+02,-7.52456e+02,3.25000e+02,-1.15183e+03,3.25000e+02,-9.96073e+02,3.25000e+02,-9.93989e+02,
3.30000e+02,-8.28366e+02,3.30000e+02,-8.01403e+02,3.30000e+02,-1.13564e+03,3.30000e+02,-1.03154e+03,3.30000e+02,-1.04046e+03,
3.35000e+02,-7.59711e+02,3.35000e+02,-7.13132e+02,3.35000e+02,-1.08679e+03,3.35000e+02,-1.02985e+03,3.35000e+02,-1.03795e+03,
3.40000e+02,-7.17817e+02,3.40000e+02,-6.73779e+02,3.40000e+02,-1.00590e+03,3.40000e+02,-9.64628e+02,3.40000e+02,-9.98607e+02,
3.45000e+02,-7.13867e+02,3.45000e+02,-6.89519e+02,3.45000e+02,-1.01512e+03,3.45000e+02,-9.90495e+02,3.45000e+02,-1.01581e+03,
3.50000e+02,-6.42767e+02,3.50000e+02,-6.05867e+02,3.50000e+02,-9.69424e+02,3.50000e+02,-9.75754e+02,3.50000e+02,-9.62597e+02,
3.55000e+02,-5.54123e+02,3.55000e+02,-5.17871e+02,3.55000e+02,-8.45716e+02,3.55000e+02,-8.88148e+02,3.55000e+02,-9.31296e+02,
0.00000e+00,-4.03803e+02,0.00000e+00,-3.70245e+02,0.00000e+00,-6.93203e+02,0.00000e+00,-7.70151e+02,0.00000e+00,-8.32451e+02,
5.00000e+00,-2.43363e+02,5.00000e+00,-2.24656e+02,5.00000e+00,-4.91348e+02,5.00000e+00,-5.05213e+02,5.00000e+00,-5.76945e+02,
1.00000e+01,-8.39343e+01,1.00000e+01,-8.41809e+01,1.00000e+01,-2.75113e+02,1.00000e+01,-2.79087e+02,1.00000e+01,-3.29713e+02,
1.50000e+01,6.72577e+01,1.50000e+01,6.81679e+01,1.50000e+01,-7.92543e+01,1.50000e+01,-9.81239e+01,1.50000e+01,-1.23128e+02,
2.00000e+01,2.35055e+02,2.00000e+01,2.29688e+02,2.00000e+01,1.13834e+02,2.00000e+01,1.02979e+02,2.00000e+01,9.04621e+01,
2.50000e+01,3.92803e+02,2.50000e+01,3.80147e+02,2.50000e+01,3.32629e+02,2.50000e+01,3.33842e+02,2.50000e+01,3.28217e+02,
3.00000e+01,5.37216e+02,3.00000e+01,5.15729e+02,3.00000e+01,5.32622e+02,3.00000e+01,5.36687e+02,3.00000e+01,5.39308e+02,
3.50000e+01,6.52518e+02,3.50000e+01,6.31254e+02,3.50000e+01,7.15174e+02,3.50000e+01,7.17791e+02,3.50000e+01,7.26377e+02,
4.00000e+01,7.24119e+02,4.00000e+01,7.08867e+02,4.00000e+01,8.62842e+02,4.00000e+01,8.64374e+02,4.00000e+01,8.73540e+02,
4.50000e+01,7.74868e+02,4.50000e+01,7.56263e+02,4.50000e+01,9.61380e+02,4.50000e+01,9.61147e+02,4.50000e+01,9.71748e+02,
5.00000e+01,8.17456e+02,5.00000e+01,7.98290e+02,5.00000e+01,1.02437e+03,5.00000e+01,1.02485e+03,5.00000e+01,1.03085e+03,
