Export File Created with QBlade v0.96 64bit on 09.07.2020 at 19:00:53
_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.14 6panel,_TSR4.5 solidity=0.14 6panel,_TSR4.5 solidity=0.14 6panel UAVL,_TSR4.5 solidity=0.14 6panel UAVL,_TSR4.5 solidity=0.14 ua 4-2,_TSR4.5 solidity=0.14 ua 4-2,
Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],
2.70000e+02,1.22407e+02,2.70000e+02,7.50835e+01,2.70000e+02,1.52398e+02,2.70000e+02,1.06524e+02,2.70000e+02,1.10814e+02,
2.75000e+02,1.16843e+02,2.75000e+02,1.08411e+02,2.75000e+02,1.49028e+02,2.75000e+02,1.31215e+02,2.75000e+02,1.32695e+02,
2.80000e+02,1.23532e+02,2.80000e+02,1.21951e+02,2.80000e+02,1.55987e+02,2.80000e+02,1.45690e+02,2.80000e+02,1.46541e+02,
2.85000e+02,1.23057e+02,2.85000e+02,1.09710e+02,2.85000e+02,1.55028e+02,2.85000e+02,1.43986e+02,2.85000e+02,1.47188e+02,
2.90000e+02,1.19289e+02,2.90000e+02,1.13233e+02,2.90000e+02,1.50168e+02,2.90000e+02,1.41911e+02,2.90000e+02,1.43941e+02,
2.95000e+02,1.12956e+02,2.95000e+02,1.02698e+02,2.95000e+02,1.41835e+02,2.95000e+02,1.34011e+02,2.95000e+02,1.37056e+02,
3.00000e+02,1.04291e+02,3.00000e+02,9.41158e+01,3.00000e+02,1.30127e+02,3.00000e+02,1.22455e+02,3.00000e+02,1.25490e+02,
3.05000e+02,9.40265e+01,3.05000e+02,8.29338e+01,3.05000e+02,1.16570e+02,3.05000e+02,1.08776e+02,3.05000e+02,1.11841e+02,
3.10000e+02,8.25888e+01,3.10000e+02,6.36829e+01,3.10000e+02,1.01311e+02,3.10000e+02,8.79059e+01,3.10000e+02,9.40466e+01,
3.15000e+02,7.02136e+01,3.15000e+02,5.55172e+01,3.15000e+02,8.48778e+01,3.15000e+02,6.96465e+01,3.15000e+02,6.98209e+01,
3.20000e+02,5.70922e+01,3.20000e+02,4.23053e+01,3.20000e+02,6.75241e+01,3.20000e+02,5.20518e+01,3.20000e+02,5.63494e+01,
3.25000e+02,4.34833e+01,3.25000e+02,2.98705e+01,3.25000e+02,4.96263e+01,3.25000e+02,3.57683e+01,3.25000e+02,3.62141e+01,
3.30000e+02,2.99009e+01,3.30000e+02,2.25580e+01,3.30000e+02,3.18452e+01,3.30000e+02,2.32307e+01,3.30000e+02,2.43291e+01,
3.35000e+02,1.67038e+01,3.35000e+02,1.14756e+01,3.35000e+02,1.46160e+01,3.35000e+02,1.09055e+01,3.35000e+02,1.22875e+01,
3.40000e+02,4.34790e+00,3.40000e+02,8.14490e-01,3.40000e+02,-1.45435e+00,3.40000e+02,-2.83317e+00,3.40000e+02,-1.67249e+00,
3.45000e+02,-6.88535e+00,3.45000e+02,-8.78615e+00,3.45000e+02,-1.52442e+01,3.45000e+02,-1.57209e+01,3.45000e+02,-1.49155e+01,
3.50000e+02,-1.55080e+01,3.50000e+02,-1.60513e+01,3.50000e+02,-2.58543e+01,3.50000e+02,-2.55304e+01,3.50000e+02,-2.51831e+01,
3.55000e+02,-2.08255e+01,3.55000e+02,-2.07303e+01,3.55000e+02,-3.24183e+01,3.55000e+02,-3.18930e+01,3.55000e+02,-3.17570e+01,
0.00000e+00,-2.28179e+01,0.00000e+00,-2.25803e+01,0.00000e+00,-3.46857e+01,0.00000e+00,-3.42491e+01,0.00000e+00,-3.42531e+01,
5.00000e+00,-2.18098e+01,5.00000e+00,-2.17470e+01,5.00000e+00,-3.31532e+01,5.00000e+00,-3.29162e+01,5.00000e+00,-3.29006e+01,
1.00000e+01,-1.80973e+01,1.00000e+01,-1.84438e+01,1.00000e+01,-2.82565e+01,1.00000e+01,-2.82339e+01,1.00000e+01,-2.81880e+01,
1.50000e+01,-1.08734e+01,1.50000e+01,-1.20352e+01,1.50000e+01,-1.98663e+01,1.50000e+01,-2.01006e+01,1.50000e+01,-1.98189e+01,
2.00000e+01,-5.27929e-01,2.00000e+01,-2.79821e+00,2.00000e+01,-7.01364e+00,2.00000e+01,-7.52779e+00,2.00000e+01,-6.94401e+00,
2.50000e+01,1.23123e+01,2.50000e+01,8.58770e+00,2.50000e+01,8.74334e+00,2.50000e+01,7.92831e+00,2.50000e+01,8.93018e+00,
3.00000e+01,2.71281e+01,3.00000e+01,2.22040e+01,3.00000e+01,2.75380e+01,3.00000e+01,2.64678e+01,3.00000e+01,2.79547e+01,
3.50000e+01,4.08765e+01,3.50000e+01,3.53849e+01,3.50000e+01,4.71396e+01,3.50000e+01,4.58603e+01,3.50000e+01,4.77409e+01,
4.00000e+01,5.42130e+01,4.00000e+01,4.82622e+01,4.00000e+01,6.51668e+01,4.00000e+01,6.36886e+01,4.00000e+01,6.61600e+01,
4.50000e+01,6.79357e+01,4.50000e+01,6.14420e+01,4.50000e+01,8.26763e+01,4.50000e+01,8.13872e+01,4.50000e+01,8.38726e+01,
5.00000e+01,8.05805e+01,5.00000e+01,7.39889e+01,5.00000e+01,9.94088e+01,5.00000e+01,9.89577e+01,5.00000e+01,1.02113e+02,
5.50000e+01,9.21339e+01,5.50000e+01,8.84376e+01,5.50000e+01,1.14963e+02,5.50000e+01,1.14628e+02,5.50000e+01,1.17795e+02,
6.00000e+01,1.02563e+02,6.00000e+01,1.09131e+02,6.00000e+01,1.28824e+02,6.00000e+01,1.31001e+02,6.00000e+01,1.35668e+02,
6.50000e+01,1.11292e+02,6.50000e+01,1.18454e+02,6.50000e+01,1.40236e+02,6.50000e+01,1.60266e+02,6.50000e+01,1.63250e+02,
7.00000e+01,1.18288e+02,7.00000e+01,1.46029e+02,7.00000e+01,1.49295e+02,7.00000e+01,1.75061e+02,7.00000e+01,1.84923e+02,
