Export File Created with QBlade v0.96 64bit on 09.07.2020 at 19:00:42
_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.14 6panel,_TSR4.5 solidity=0.14 6panel,_TSR4.5 solidity=0.14 6panel UAVL,_TSR4.5 solidity=0.14 6panel UAVL,_TSR4.5 solidity=0.14 ua 4-2,_TSR4.5 solidity=0.14 ua 4-2,
Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],
2.70000e+02,-1.16616e+01,2.70000e+02,-1.11263e+01,2.70000e+02,-1.16343e+01,2.70000e+02,-1.16343e+01,2.70000e+02,-1.17506e+01,
2.75000e+02,-1.12160e+01,2.75000e+02,-1.13345e+01,2.75000e+02,-1.13297e+01,2.75000e+02,-1.17352e+01,2.75000e+02,-1.17942e+01,
2.80000e+02,-1.12910e+01,2.80000e+02,-1.09496e+01,2.80000e+02,-1.13580e+01,2.80000e+02,-1.14224e+01,2.80000e+02,-1.14843e+01,
2.85000e+02,-1.10592e+01,2.85000e+02,-1.06518e+01,2.85000e+02,-1.11258e+01,2.85000e+02,-1.10969e+01,2.85000e+02,-1.11656e+01,
2.90000e+02,-1.06783e+01,2.90000e+02,-1.05487e+01,2.90000e+02,-1.07571e+01,2.90000e+02,-1.07530e+01,2.90000e+02,-1.07923e+01,
2.95000e+02,-1.02088e+01,2.95000e+02,-1.00582e+01,2.95000e+02,-1.02973e+01,2.95000e+02,-1.03021e+01,2.95000e+02,-1.03461e+01,
3.00000e+02,-9.67153e+00,3.00000e+02,-9.56588e+00,3.00000e+02,-9.77010e+00,3.00000e+02,-9.79286e+00,3.00000e+02,-9.83576e+00,
3.05000e+02,-9.07814e+00,3.05000e+02,-8.98644e+00,3.05000e+02,-9.18670e+00,3.05000e+02,-9.22372e+00,3.05000e+02,-9.26328e+00,
3.10000e+02,-8.43691e+00,3.10000e+02,-8.36377e+00,3.10000e+02,-8.55831e+00,3.10000e+02,-8.60877e+00,3.10000e+02,-8.64089e+00,
3.15000e+02,-7.75518e+00,3.15000e+02,-7.80988e+00,3.15000e+02,-7.88861e+00,3.15000e+02,-8.01650e+00,3.15000e+02,-8.00371e+00,
3.20000e+02,-7.03985e+00,3.20000e+02,-7.05258e+00,3.20000e+02,-7.18807e+00,3.20000e+02,-7.36528e+00,3.20000e+02,-7.40754e+00,
3.25000e+02,-6.29618e+00,3.25000e+02,-6.32537e+00,3.25000e+02,-6.45896e+00,3.25000e+02,-6.64935e+00,3.25000e+02,-6.64806e+00,
3.30000e+02,-5.53439e+00,3.30000e+02,-5.57346e+00,3.30000e+02,-5.71273e+00,3.30000e+02,-5.88359e+00,3.30000e+02,-5.91107e+00,
3.35000e+02,-4.75814e+00,3.35000e+02,-4.69206e+00,3.35000e+02,-4.95341e+00,3.35000e+02,-5.06293e+00,3.35000e+02,-5.08641e+00,
3.40000e+02,-3.97145e+00,3.40000e+02,-3.87195e+00,3.40000e+02,-4.18303e+00,3.40000e+02,-4.22313e+00,3.40000e+02,-4.24095e+00,
3.45000e+02,-3.18877e+00,3.45000e+02,-3.10390e+00,3.45000e+02,-3.42535e+00,3.45000e+02,-3.42701e+00,3.45000e+02,-3.44357e+00,
3.50000e+02,-2.45673e+00,3.50000e+02,-2.40642e+00,3.50000e+02,-2.71024e+00,3.50000e+02,-2.71347e+00,3.50000e+02,-2.72374e+00,
3.55000e+02,-1.74426e+00,3.55000e+02,-1.71187e+00,3.55000e+02,-2.02750e+00,3.55000e+02,-2.02580e+00,3.55000e+02,-2.03430e+00,
0.00000e+00,-1.02125e+00,0.00000e+00,-1.00982e+00,0.00000e+00,-1.34731e+00,0.00000e+00,-1.33767e+00,0.00000e+00,-1.34238e+00,
5.00000e+00,-2.96281e-01,5.00000e+00,-2.99495e-01,5.00000e+00,-6.55079e-01,5.00000e+00,-6.49267e-01,5.00000e+00,-6.44163e-01,
1.00000e+01,4.57195e-01,1.00000e+01,4.39963e-01,1.00000e+01,5.48183e-02,1.00000e+01,5.96172e-02,1.00000e+01,6.83190e-02,
1.50000e+01,1.19956e+00,1.50000e+01,1.16486e+00,1.50000e+01,7.77609e-01,1.50000e+01,7.74982e-01,1.50000e+01,7.91518e-01,
2.00000e+01,1.90618e+00,2.00000e+01,1.85281e+00,2.00000e+01,1.46430e+00,2.00000e+01,1.46368e+00,2.00000e+01,1.47906e+00,
2.50000e+01,2.59696e+00,2.50000e+01,2.52421e+00,2.50000e+01,2.12211e+00,2.50000e+01,2.12146e+00,2.50000e+01,2.13874e+00,
3.00000e+01,3.28487e+00,3.00000e+01,3.20022e+00,3.00000e+01,2.76894e+00,3.00000e+01,2.76804e+00,3.00000e+01,2.78748e+00,
3.50000e+01,3.98849e+00,3.50000e+01,3.88958e+00,3.50000e+01,3.40457e+00,3.50000e+01,3.40332e+00,3.50000e+01,3.42366e+00,
4.00000e+01,4.72073e+00,4.00000e+01,4.60980e+00,4.00000e+01,4.05768e+00,4.00000e+01,4.05691e+00,4.00000e+01,4.08241e+00,
4.50000e+01,5.43470e+00,4.50000e+01,5.31192e+00,4.50000e+01,4.73442e+00,4.50000e+01,4.73531e+00,4.50000e+01,4.76205e+00,
5.00000e+01,6.10262e+00,5.00000e+01,5.98072e+00,5.00000e+01,5.38285e+00,5.00000e+01,5.39941e+00,5.00000e+01,5.43684e+00,
5.50000e+01,6.73175e+00,5.50000e+01,6.61133e+00,5.50000e+01,5.99296e+00,5.50000e+01,6.00648e+00,5.50000e+01,6.04827e+00,
6.00000e+01,7.32721e+00,6.00000e+01,7.15802e+00,6.00000e+01,6.56166e+00,6.00000e+01,6.56783e+00,6.00000e+01,6.60521e+00,
6.50000e+01,7.86652e+00,6.50000e+01,7.55290e+00,6.50000e+01,7.07116e+00,6.50000e+01,7.07070e+00,6.50000e+01,7.09233e+00,
7.00000e+01,8.34695e+00,7.00000e+01,8.04008e+00,7.00000e+01,7.52530e+00,7.00000e+01,7.40297e+00,7.00000e+01,7.43653e+00,
7.50000e+01,8.76718e+00,7.50000e+01,8.20759e+00,7.50000e+01,7.91545e+00,7.50000e+01,7.76086e+00,7.50000e+01,7.73720e+00,
8.00000e+01,9.12302e+00,8.00000e+01,8.75335e+00,8.00000e+01,8.24588e+00,8.00000e+01,7.92303e+00,8.00000e+01,7.96008e+00,
8.50000e+01,9.41065e+00,8.50000e+01,8.76054e+00,8.50000e+01,8.51142e+00,8.50000e+01,8.22327e+00,8.50000e+01,8.27465e+00,
9.00000e+01,9.63048e+00,9.00000e+01,9.51547e+00,9.00000e+01,8.70995e+00,9.00000e+01,8.42930e+00,9.00000e+01,8.50558e+00,
9.50000e+01,9.77274e+00,9.50000e+01,9.22176e+00,9.50000e+01,8.83550e+00,9.50000e+01,8.55776e+00,9.50000e+01,8.56164e+00,
1.00000e+02,9.83285e+00,1.00000e+02,9.68979e+00,1.00000e+02,8.88051e+00,1.00000e+02,8.58403e+00,1.00000e+02,8.76499e+00,
1.05000e+02,9.80497e+00,1.05000e+02,9.46729e+00,1.05000e+02,8.83943e+00,1.05000e+02,8.62704e+00,1.05000e+02,8.62089e+00,
1.10000e+02,9.68424e+00,1.10000e+02,9.55747e+00,1.10000e+02,8.70766e+00,1.10000e+02,8.49471e+00,1.10000e+02,8.70391e+00,
1.15000e+02,9.46620e+00,1.15000e+02,9.31135e+00,1.15000e+02,8.47793e+00,1.15000e+02,8.48317e+00,1.15000e+02,8.33743e+00,
1.20000e+02,9.14355e+00,1.20000e+02,9.05658e+00,1.20000e+02,8.14553e+00,1.20000e+02,8.07989e+00,1.20000e+02,8.27269e+00,
1.25000e+02,8.71209e+00,1.25000e+02,8.62898e+00,1.25000e+02,7.70651e+00,1.25000e+02,7.76493e+00,1.25000e+02,7.75469e+00,
1.30000e+02,8.16995e+00,1.30000e+02,8.20290e+00,1.30000e+02,7.15307e+00,1.30000e+02,7.23642e+00,1.30000e+02,7.23041e+00,
1.35000e+02,7.51359e+00,1.35000e+02,7.57057e+00,1.35000e+02,6.49680e+00,1.35000e+02,6.71139e+00,1.35000e+02,6.70471e+00,
1.40000e+02,6.73901e+00,1.40000e+02,6.85298e+00,1.40000e+02,5.72679e+00,1.40000e+02,5.91862e+00,1.40000e+02,5.91747e+00,
1.45000e+02,5.86662e+00,1.45000e+02,5.93818e+00,1.45000e+02,4.85780e+00,1.45000e+02,5.02957e+00,1.45000e+02,5.02020e+00,
1.50000e+02,4.89331e+00,1.50000e+02,4.97637e+00,1.50000e+02,3.89971e+00,1.50000e+02,4.02368e+00,1.50000e+02,4.01148e+00,
1.55000e+02,3.82048e+00,1.55000e+02,3.85101e+00,1.55000e+02,2.89769e+00,1.55000e+02,2.98700e+00,1.55000e+02,2.98027e+00,
1.60000e+02,2.70739e+00,1.60000e+02,2.74970e+00,1.60000e+02,1.88524e+00,1.60000e+02,1.97020e+00,1.60000e+02,1.96194e+00,
1.65000e+02,1.62371e+00,1.65000e+02,1.72999e+00,1.65000e+02,8.29032e-01,1.65000e+02,9.08535e-01,1.65000e+02,9.05370e-01,
1.70000e+02,4.70614e-01,1.70000e+02,6.49330e-01,1.70000e+02,-3.40834e-01,1.70000e+02,-2.53686e-01,1.70000e+02,-2.55847e-01,
1.75000e+02,-7.65623e-01,1.75000e+02,-5.14659e-01,1.75000e+02,-1.57607e+00,1.75000e+02,-1.45498e+00,1.75000e+02,-1.45749e+00,
1.80000e+02,-2.05446e+00,1.80000e+02,-1.76237e+00,1.80000e+02,-2.74286e+00,1.80000e+02,-2.56768e+00,1.80000e+02,-2.59065e+00,
1.85000e+02,-3.21884e+00,1.85000e+02,-2.97771e+00,1.85000e+02,-3.85784e+00,1.85000e+02,-3.63476e+00,1.85000e+02,-3.69739e+00,
1.90000e+02,-4.17835e+00,1.90000e+02,-4.04188e+00,1.90000e+02,-4.93442e+00,1.90000e+02,-4.75962e+00,1.90000e+02,-4.85301e+00,
1.95000e+02,-5.30458e+00,1.95000e+02,-4.88940e+00,1.95000e+02,-5.89699e+00,1.95000e+02,-5.88986e+00,1.95000e+02,-5.96229e+00,
2.00000e+02,-6.33526e+00,2.00000e+02,-6.01985e+00,2.00000e+02,-6.72226e+00,2.00000e+02,-6.83454e+00,2.00000e+02,-6.86864e+00,
2.05000e+02,-7.26957e+00,2.05000e+02,-7.08420e+00,2.05000e+02,-7.53017e+00,2.05000e+02,-7.54351e+00,2.05000e+02,-7.53024e+00,
2.10000e+02,-8.14993e+00,2.10000e+02,-7.82674e+00,2.10000e+02,-8.34048e+00,2.10000e+02,-8.02234e+00,2.10000e+02,-8.03703e+00,
2.15000e+02,-8.93582e+00,2.15000e+02,-8.40416e+00,2.15000e+02,-9.05693e+00,2.15000e+02,-8.76832e+00,2.15000e+02,-8.78100e+00,
2.20000e+02,-9.61678e+00,2.20000e+02,-8.95745e+00,2.20000e+02,-9.66902e+00,2.20000e+02,-9.12537e+00,2.20000e+02,-9.06470e+00,
2.25000e+02,-1.02298e+01,2.25000e+02,-9.49083e+00,2.25000e+02,-1.02174e+01,2.25000e+02,-9.69041e+00,2.25000e+02,-9.75540e+00,
2.30000e+02,-1.07727e+01,2.30000e+02,-1.02202e+01,2.30000e+02,-1.07114e+01,2.30000e+02,-1.01519e+01,2.30000e+02,-1.02827e+01,
2.35000e+02,-1.12343e+01,2.35000e+02,-1.07181e+01,2.35000e+02,-1.11457e+01,2.35000e+02,-1.05054e+01,2.35000e+02,-1.06944e+01,
2.40000e+02,-1.16060e+01,2.40000e+02,-1.11837e+01,2.40000e+02,-1.15025e+01,2.40000e+02,-1.07003e+01,2.40000e+02,-1.09770e+01,
2.45000e+02,-1.18711e+01,2.45000e+02,-1.15124e+01,2.45000e+02,-1.17568e+01,2.45000e+02,-1.08305e+01,2.45000e+02,-1.12209e+01,
2.50000e+02,-1.20245e+01,2.50000e+02,-1.16932e+01,2.50000e+02,-1.18895e+01,2.50000e+02,-1.09400e+01,2.50000e+02,-1.14118e+01,
2.55000e+02,-1.20656e+01,2.55000e+02,-1.18005e+01,2.55000e+02,-1.19046e+01,2.55000e+02,-1.10705e+01,2.55000e+02,-1.15730e+01,
2.60000e+02,-1.20110e+01,2.60000e+02,-1.18048e+01,2.60000e+02,-1.18181e+01,2.60000e+02,-1.11877e+01,2.60000e+02,-1.16342e+01,
2.65000e+02,-1.18661e+01,2.65000e+02,-1.17066e+01,2.65000e+02,-1.16389e+01,2.65000e+02,-1.12289e+01,2.65000e+02,-1.15669e+01,
2.70000e+02,-1.16396e+01,2.70000e+02,-1.15186e+01,2.70000e+02,-1.13789e+01,2.70000e+02,-1.11602e+01,2.70000e+02,-1.13850e+01,
2.75000e+02,-1.13352e+01,2.75000e+02,-1.12480e+01,2.75000e+02,-1.10424e+01,2.75000e+02,-1.10846e+01,2.75000e+02,-1.11199e+01,
2.80000e+02,-1.09590e+01,2.80000e+02,-1.09183e+01,2.80000e+02,-1.06430e+01,2.80000e+02,-1.08451e+01,2.80000e+02,-1.08188e+01,
2.85000e+02,-1.05224e+01,2.85000e+02,-1.05388e+01,2.85000e+02,-1.02021e+01,2.85000e+02,-1.05518e+01,2.85000e+02,-1.05010e+01,
2.90000e+02,-1.00427e+01,2.90000e+02,-1.00942e+01,2.90000e+02,-9.74058e+00,2.90000e+02,-1.01519e+01,2.90000e+02,-1.01072e+01,
2.95000e+02,-9.52547e+00,2.95000e+02,-9.57583e+00,2.95000e+02,-9.27579e+00,2.95000e+02,-9.64285e+00,2.95000e+02,-9.63602e+00,
3.00000e+02,-8.98443e+00,3.00000e+02,-9.01570e+00,3.00000e+02,-8.79067e+00,3.00000e+02,-9.08913e+00,3.00000e+02,-9.10352e+00,
3.05000e+02,-8.39951e+00,3.05000e+02,-8.43367e+00,3.05000e+02,-8.22684e+00,3.05000e+02,-8.50965e+00,3.05000e+02,-8.52840e+00,
3.10000e+02,-7.75963e+00,3.10000e+02,-7.92833e+00,3.10000e+02,-7.59038e+00,3.10000e+02,-8.02035e+00,3.10000e+02,-8.02577e+00,
3.15000e+02,-7.10502e+00,3.15000e+02,-7.19740e+00,3.15000e+02,-6.93193e+00,3.15000e+02,-7.26474e+00,3.15000e+02,-7.38718e+00,
3.20000e+02,-6.53636e+00,3.20000e+02,-6.65629e+00,3.20000e+02,-6.37220e+00,3.20000e+02,-6.74920e+00,3.20000e+02,-6.86475e+00,
3.25000e+02,-6.30491e+00,3.25000e+02,-6.42542e+00,3.25000e+02,-6.15529e+00,3.25000e+02,-6.45052e+00,3.25000e+02,-6.44966e+00,
3.30000e+02,-6.30757e+00,3.30000e+02,-6.56443e+00,3.30000e+02,-6.13611e+00,3.30000e+02,-6.29952e+00,3.30000e+02,-6.16090e+00,
3.35000e+02,-5.16746e+00,3.35000e+02,-4.68798e+00,3.35000e+02,-5.55172e+00,3.35000e+02,-5.44914e+00,3.35000e+02,-5.28476e+00,
3.40000e+02,-4.30406e+00,3.40000e+02,-3.99147e+00,3.40000e+02,-4.65780e+00,3.40000e+02,-4.63964e+00,3.40000e+02,-4.63045e+00,
3.45000e+02,-3.92712e+00,3.45000e+02,-3.89657e+00,3.45000e+02,-4.31220e+00,3.45000e+02,-4.36670e+00,3.45000e+02,-4.39621e+00,
3.50000e+02,-3.27440e+00,3.50000e+02,-3.24145e+00,3.50000e+02,-3.75509e+00,3.50000e+02,-3.88721e+00,3.50000e+02,-3.66173e+00,
3.55000e+02,-2.72183e+00,3.55000e+02,-2.69119e+00,3.55000e+02,-3.08863e+00,3.55000e+02,-3.26402e+00,3.55000e+02,-3.18756e+00,
0.00000e+00,-1.97960e+00,0.00000e+00,-1.78571e+00,0.00000e+00,-2.49074e+00,0.00000e+00,-2.70513e+00,0.00000e+00,-2.62630e+00,
5.00000e+00,-1.18779e+00,5.00000e+00,-1.02564e+00,5.00000e+00,-1.77125e+00,5.00000e+00,-1.80244e+00,5.00000e+00,-1.78908e+00,
1.00000e+01,-3.66901e-01,1.00000e+01,-3.27696e-01,1.00000e+01,-1.01123e+00,1.00000e+01,-1.02141e+00,1.00000e+01,-1.04159e+00,
1.50000e+01,4.86246e-01,1.50000e+01,5.07949e-01,1.50000e+01,-2.19051e-01,1.50000e+01,-2.68970e-01,1.50000e+01,-3.27716e-01,
2.00000e+01,1.32701e+00,2.00000e+01,1.32597e+00,2.00000e+01,5.99355e-01,2.00000e+01,5.73347e-01,2.00000e+01,5.33130e-01,
2.50000e+01,2.09206e+00,2.50000e+01,2.06681e+00,2.50000e+01,1.40427e+00,2.50000e+01,1.40614e+00,2.50000e+01,1.39013e+00,
3.00000e+01,2.82876e+00,3.00000e+01,2.78131e+00,3.00000e+01,2.13037e+00,3.00000e+01,2.13710e+00,3.00000e+01,2.13840e+00,
3.50000e+01,3.55869e+00,3.50000e+01,3.49283e+00,3.50000e+01,2.82967e+00,3.50000e+01,2.83046e+00,3.50000e+01,2.84159e+00,
