Export File Created with QBlade v0.96 64bit on 09.07.2020 at 18:18:47
_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.14 ua 4-2,_TSR4.5 solidity=0.14 ua 4-2,
Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],
2.70000e+02,-1.11263e+01,2.70000e+02,-1.17506e+01,
2.75000e+02,-1.13345e+01,2.75000e+02,-1.17942e+01,
2.80000e+02,-1.09496e+01,2.80000e+02,-1.14843e+01,
2.85000e+02,-1.06518e+01,2.85000e+02,-1.11656e+01,
2.90000e+02,-1.05487e+01,2.90000e+02,-1.07923e+01,
2.95000e+02,-1.00582e+01,2.95000e+02,-1.03461e+01,
3.00000e+02,-9.56588e+00,3.00000e+02,-9.83576e+00,
3.05000e+02,-8.98644e+00,3.05000e+02,-9.26328e+00,
3.10000e+02,-8.36377e+00,3.10000e+02,-8.64089e+00,
3.15000e+02,-7.80988e+00,3.15000e+02,-8.00371e+00,
3.20000e+02,-7.05258e+00,3.20000e+02,-7.40754e+00,
3.25000e+02,-6.32537e+00,3.25000e+02,-6.64806e+00,
3.30000e+02,-5.57346e+00,3.30000e+02,-5.91107e+00,
3.35000e+02,-4.69206e+00,3.35000e+02,-5.08641e+00,
3.40000e+02,-3.87195e+00,3.40000e+02,-4.24095e+00,
3.45000e+02,-3.10390e+00,3.45000e+02,-3.44357e+00,
3.50000e+02,-2.40642e+00,3.50000e+02,-2.72374e+00,
3.55000e+02,-1.71187e+00,3.55000e+02,-2.03430e+00,
0.00000e+00,-1.00982e+00,0.00000e+00,-1.34238e+00,
5.00000e+00,-2.99495e-01,5.00000e+00,-6.44163e-01,
1.00000e+01,4.39963e-01,1.00000e+01,6.83190e-02,
1.50000e+01,1.16486e+00,1.50000e+01,7.91518e-01,
2.00000e+01,1.85281e+00,2.00000e+01,1.47906e+00,
2.50000e+01,2.52421e+00,2.50000e+01,2.13874e+00,
3.00000e+01,3.20022e+00,3.00000e+01,2.78748e+00,
3.50000e+01,3.88958e+00,3.50000e+01,3.42366e+00,
4.00000e+01,4.60980e+00,4.00000e+01,4.08241e+00,
