Export File Created with QBlade v0.96 64bit on 09.07.2020 at 17:00:05
_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.14 6panel,_TSR4.5 solidity=0.14 6panel,
Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],
2.70000e+02,-1.16616e+01,2.70000e+02,-1.16343e+01,
2.75000e+02,-1.12160e+01,2.75000e+02,-1.13297e+01,
2.80000e+02,-1.12910e+01,2.80000e+02,-1.13580e+01,
2.85000e+02,-1.10592e+01,2.85000e+02,-1.11258e+01,
2.90000e+02,-1.06783e+01,2.90000e+02,-1.07571e+01,
2.95000e+02,-1.02088e+01,2.95000e+02,-1.02973e+01,
3.00000e+02,-9.67153e+00,3.00000e+02,-9.77010e+00,
3.05000e+02,-9.07814e+00,3.05000e+02,-9.18670e+00,
3.10000e+02,-8.43691e+00,3.10000e+02,-8.55831e+00,
3.15000e+02,-7.75518e+00,3.15000e+02,-7.88861e+00,
3.20000e+02,-7.03985e+00,3.20000e+02,-7.18807e+00,
3.25000e+02,-6.29618e+00,3.25000e+02,-6.45896e+00,
3.30000e+02,-5.53439e+00,3.30000e+02,-5.71273e+00,
3.35000e+02,-4.75814e+00,3.35000e+02,-4.95341e+00,
3.40000e+02,-3.97145e+00,3.40000e+02,-4.18303e+00,
3.45000e+02,-3.18877e+00,3.45000e+02,-3.42535e+00,
3.50000e+02,-2.45673e+00,3.50000e+02,-2.71024e+00,
3.55000e+02,-1.74426e+00,3.55000e+02,-2.02750e+00,
0.00000e+00,-1.02125e+00,0.00000e+00,-1.34731e+00,
5.00000e+00,-2.96281e-01,5.00000e+00,-6.55079e-01,
1.00000e+01,4.57195e-01,1.00000e+01,5.48183e-02,
1.50000e+01,1.19956e+00,1.50000e+01,7.77609e-01,
2.00000e+01,1.90618e+00,2.00000e+01,1.46430e+00,
2.50000e+01,2.59696e+00,2.50000e+01,2.12211e+00,
3.00000e+01,3.28487e+00,3.00000e+01,2.76894e+00,
3.50000e+01,3.98849e+00,3.50000e+01,3.40457e+00,
4.00000e+01,4.72073e+00,4.00000e+01,4.05768e+00,
